frequency	e'	e''
1000000000.0000	   1.5665	   0.0158
1008000000.0000	   1.5801	   0.0156
1016000000.0000	   1.5888	   0.0097
1024000000.0000	   1.6023	   0.0158
1032000000.0000	   1.6090	   0.0165
1040000000.0000	   1.6134	   0.0135
1048000000.0000	   1.6395	   0.0160
1056000000.0000	   1.6735	   0.0199
1064000000.0000	   1.7168	   0.0200
1072000000.0000	   1.7707	   0.0186
1080000000.0000	   1.8253	   0.0175
1088000000.0000	   1.8612	   0.0161
1096000000.0000	   1.9021	   0.0154
1104000000.0000	   1.9197	   0.0113
1112000000.0000	   1.9380	   0.0073
1120000000.0000	   1.9372	  -0.0042
1128000000.0000	   1.9216	   0.0053
1136000000.0000	   1.9118	   0.0109
1144000000.0000	   1.8874	   0.0162
1152000000.0000	   1.8518	   0.0146
1160000000.0000	   1.8231	   0.0181
1168000000.0000	   1.8230	   0.0193
1176000000.0000	   1.8048	   0.0166
1184000000.0000	   1.7655	   0.0183
1192000000.0000	   1.7240	   0.0154
1200000000.0000	   1.6885	   0.0175
1208000000.0000	   1.6229	   0.0178
1216000000.0000	   1.5686	   0.0224
1224000000.0000	   1.5336	   0.0179
1232000000.0000	   1.5078	   0.0142
1240000000.0000	   1.4949	   0.0211
1248000000.0000	   1.4847	   0.0300
1256000000.0000	   1.4909	   0.0280
1264000000.0000	   1.5001	   0.0301
1272000000.0000	   1.4908	   0.0295
1280000000.0000	   1.4933	   0.0265
1288000000.0000	   1.4921	   0.0212
1296000000.0000	   1.4900	   0.0189
1304000000.0000	   1.4733	   0.0221
1312000000.0000	   1.4654	   0.0193
1320000000.0000	   1.4518	   0.0225
1328000000.0000	   1.4440	   0.0229
1336000000.0000	   1.4247	   0.0269
1344000000.0000	   1.4086	   0.0287
1352000000.0000	   1.3926	   0.0307
1360000000.0000	   1.3707	   0.0283
1368000000.0000	   1.3454	   0.0292
1376000000.0000	   1.3301	   0.0255
1384000000.0000	   1.3042	   0.0197
1392000000.0000	   1.2811	   0.0231
1400000000.0000	   1.2700	   0.0196
1408000000.0000	   1.2634	   0.0286
1416000000.0000	   1.2445	   0.0273
1424000000.0000	   1.2481	   0.0292
1432000000.0000	   1.2448	   0.0245
1440000000.0000	   1.2460	   0.0295
1448000000.0000	   1.2439	   0.0289
1456000000.0000	   1.2433	   0.0347
1464000000.0000	   1.2458	   0.0252
1472000000.0000	   1.2400	   0.0265
1480000000.0000	   1.2459	   0.0249
1488000000.0000	   1.2411	   0.0221
1496000000.0000	   1.2451	   0.0191
1504000000.0000	   1.2487	   0.0204
1512000000.0000	   1.2587	   0.0233
1520000000.0000	   1.2598	   0.0259
1528000000.0000	   1.2643	   0.0297
1536000000.0000	   1.2612	   0.0317
1544000000.0000	   1.2660	   0.0261
1552000000.0000	   1.2622	   0.0227
1560000000.0000	   1.2603	   0.0252
1568000000.0000	   1.2552	   0.0195
1576000000.0000	   1.2493	   0.0166
1584000000.0000	   1.2417	   0.0203
1592000000.0000	   1.2358	   0.0182
1600000000.0000	   1.2354	   0.0247
1608000000.0000	   1.2354	   0.0269
1616000000.0000	   1.2374	   0.0237
1624000000.0000	   1.2359	   0.0245
1632000000.0000	   1.2390	   0.0275
1640000000.0000	   1.2399	   0.0240
1648000000.0000	   1.2385	   0.0189
1656000000.0000	   1.2404	   0.0191
1664000000.0000	   1.2332	   0.0226
1672000000.0000	   1.2362	   0.0157
1680000000.0000	   1.2322	   0.0166
1688000000.0000	   1.2345	   0.0209
1696000000.0000	   1.2409	   0.0207
1704000000.0000	   1.2432	   0.0246
1712000000.0000	   1.2546	   0.0199
1720000000.0000	   1.2711	   0.0237
1728000000.0000	   1.2847	   0.0259
1736000000.0000	   1.2958	   0.0266
1744000000.0000	   1.3079	   0.0220
1752000000.0000	   1.3234	   0.0230
1760000000.0000	   1.3472	   0.0147
1768000000.0000	   1.3743	   0.0179
1776000000.0000	   1.4139	   0.0190
