frequency	e'	e''
1000000000.0000	  66.9475	   1.3600
1008000000.0000	  66.9064	   1.4862
1016000000.0000	  66.8496	   1.6022
1024000000.0000	  66.7944	   1.7129
1032000000.0000	  66.7272	   1.8349
1040000000.0000	  66.6615	   1.9387
1048000000.0000	  66.5839	   2.0492
1056000000.0000	  66.5076	   2.1283
1064000000.0000	  66.3948	   2.1843
1072000000.0000	  66.3190	   2.2235
1080000000.0000	  66.2810	   2.2828
1088000000.0000	  66.2218	   2.3235
1096000000.0000	  66.1713	   2.3769
1104000000.0000	  66.0597	   2.4092
1112000000.0000	  65.9492	   2.4142
1120000000.0000	  65.8209	   2.3854
1128000000.0000	  65.7338	   2.3288
1136000000.0000	  65.6727	   2.2584
1144000000.0000	  65.6495	   2.1773
1152000000.0000	  65.6316	   2.1020
1160000000.0000	  65.6408	   2.0244
1168000000.0000	  65.6941	   1.9735
1176000000.0000	  65.7481	   1.9412
1184000000.0000	  65.7894	   1.9076
1192000000.0000	  65.8122	   1.8916
1200000000.0000	  65.8281	   1.8672
1208000000.0000	  65.8528	   1.8543
1216000000.0000	  65.8864	   1.8566
1224000000.0000	  65.9353	   1.8549
1232000000.0000	  65.9622	   1.8597
1240000000.0000	  65.9704	   1.8670
1248000000.0000	  65.9898	   1.8726
1256000000.0000	  66.0163	   1.8748
1264000000.0000	  66.0567	   1.8854
1272000000.0000	  66.0711	   1.9026
1280000000.0000	  66.0703	   1.9176
1288000000.0000	  66.0697	   1.9277
1296000000.0000	  66.0758	   1.9464
1304000000.0000	  66.0923	   1.9601
1312000000.0000	  66.1085	   1.9768
1320000000.0000	  66.1129	   2.0096
1328000000.0000	  66.1056	   2.0356
1336000000.0000	  66.0988	   2.0606
1344000000.0000	  66.1091	   2.0950
1352000000.0000	  66.1395	   2.1319
1360000000.0000	  66.1608	   2.1844
1368000000.0000	  66.1696	   2.2354
1376000000.0000	  66.1544	   2.2812
1384000000.0000	  66.1280	   2.3308
1392000000.0000	  66.1125	   2.3925
1400000000.0000	  66.0744	   2.4624
1408000000.0000	  66.0093	   2.4969
1416000000.0000	  65.8958	   2.5118
1424000000.0000	  65.7867	   2.4778
1432000000.0000	  65.6966	   2.4255
1440000000.0000	  65.6233	   2.3597
1448000000.0000	  65.5524	   2.3039
1456000000.0000	  65.4857	   2.2425
1464000000.0000	  65.4137	   2.1906
1472000000.0000	  65.3734	   2.1438
1480000000.0000	  65.3553	   2.1108
1488000000.0000	  65.3566	   2.0794
1496000000.0000	  65.3486	   2.0433
1504000000.0000	  65.3173	   2.0036
1512000000.0000	  65.3419	   1.9774
1520000000.0000	  65.3872	   1.9692
1528000000.0000	  65.4445	   1.9749
1536000000.0000	  65.4950	   2.0055
1544000000.0000	  65.5425	   2.0440
