frequency	e'	e''
1000000000.0000	  51.2864	   1.5880
1008000000.0000	  51.4170	   1.6153
1016000000.0000	  51.5696	   1.6397
1024000000.0000	  51.7687	   1.6765
1032000000.0000	  51.8080	   1.6973
1040000000.0000	  51.6999	   1.7332
1048000000.0000	  51.6732	   1.7562
1056000000.0000	  51.7123	   1.7923
1064000000.0000	  51.8586	   1.8323
1072000000.0000	  51.9981	   1.8685
1080000000.0000	  52.1229	   1.9066
1088000000.0000	  52.1830	   1.9501
1096000000.0000	  52.2214	   1.9841
1104000000.0000	  52.2006	   2.0256
1112000000.0000	  52.1479	   2.0686
1120000000.0000	  52.1366	   2.1078
1128000000.0000	  52.0474	   2.1397
1136000000.0000	  51.9667	   2.1621
1144000000.0000	  51.8911	   2.1779
1152000000.0000	  51.9093	   2.1860
1160000000.0000	  51.9407	   2.1844
1168000000.0000	  51.9362	   2.1861
1176000000.0000	  51.9139	   2.1759
1184000000.0000	  51.9053	   2.1674
1192000000.0000	  51.8825	   2.1709
1200000000.0000	  51.8575	   2.1541
1208000000.0000	  51.8708	   2.1551
1216000000.0000	  51.8503	   2.1472
1224000000.0000	  51.8316	   2.1332
1232000000.0000	  51.8268	   2.1247
1240000000.0000	  51.8985	   2.1224
1248000000.0000	  51.9572	   2.1302
1256000000.0000	  51.9856	   2.1212
1264000000.0000	  51.9798	   2.1032
1272000000.0000	  51.9727	   2.1088
1280000000.0000	  51.9575	   2.0907
1288000000.0000	  51.9617	   2.0825
1296000000.0000	  51.9851	   2.0755
1304000000.0000	  51.9654	   2.0573
1312000000.0000	  51.9253	   2.0324
1320000000.0000	  51.9027	   2.0093
1328000000.0000	  51.9339	   1.9777
1336000000.0000	  51.9620	   1.9426
1344000000.0000	  51.9687	   1.8960
1352000000.0000	  51.9527	   1.8447
1360000000.0000	  51.9703	   1.7929
1368000000.0000	  52.0366	   1.7704
1376000000.0000	  52.1391	   1.7805
1384000000.0000	  52.2613	   1.8263
1392000000.0000	  52.2892	   1.8778
1400000000.0000	  52.2891	   1.9248
1408000000.0000	  52.2544	   1.9676
1416000000.0000	  52.2882	   2.0011
1424000000.0000	  52.3502	   2.0211
1432000000.0000	  52.4129	   2.0352
1440000000.0000	  52.4646	   2.0320
1448000000.0000	  52.5335	   2.0224
1456000000.0000	  52.6173	   2.0068
1464000000.0000	  52.7548	   1.9812
1472000000.0000	  52.9438	   1.9524
1480000000.0000	  53.1213	   1.9079
1488000000.0000	  53.2974	   1.8581
1496000000.0000	  53.4799	   1.8012
1504000000.0000	  53.9572	   1.7493
1512000000.0000	  54.1782	   1.7208
1520000000.0000	  54.3746	   1.6976
1528000000.0000	  54.5561	   1.7274
1536000000.0000	  54.6802	   1.7807
1544000000.0000	  54.7886	   1.8547
1552000000.0000	  54.8830	   1.9366
1560000000.0000	  54.9061	   2.0305
1568000000.0000	  54.9084	   2.1159
1576000000.0000	  54.9057	   2.1896
1584000000.0000	  54.9233	   2.2551
1592000000.0000	  54.9414	   2.3156
1600000000.0000	  54.9622	   2.3699
1608000000.0000	  54.9799	   2.4150
1616000000.0000	  54.9983	   2.4557
