frequency	e'	e''
1000000000.0000	  65.4303	   1.9282
1008000000.0000	  65.3877	   1.9473
1016000000.0000	  65.3341	   1.9601
1024000000.0000	  65.3171	   1.9771
1032000000.0000	  65.2759	   1.9874
1040000000.0000	  65.2143	   1.9931
1048000000.0000	  65.1353	   2.0036
1056000000.0000	  65.0607	   2.0145
1064000000.0000	  64.9824	   2.0269
1072000000.0000	  64.9189	   2.0435
1080000000.0000	  64.8471	   2.0493
1088000000.0000	  64.7499	   2.0630
1096000000.0000	  64.6421	   2.0732
1104000000.0000	  64.5439	   2.0804
1112000000.0000	  64.4688	   2.0965
1120000000.0000	  64.4106	   2.1069
1128000000.0000	  64.3590	   2.1177
1136000000.0000	  64.3036	   2.1288
1144000000.0000	  64.2374	   2.1454
1152000000.0000	  64.1272	   2.1520
1160000000.0000	  63.9572	   2.1620
1168000000.0000	  63.7471	   2.1750
1176000000.0000	  63.5278	   2.1847
1184000000.0000	  63.3280	   2.2011
1192000000.0000	  63.2291	   2.2167
1200000000.0000	  63.1904	   2.2326
1208000000.0000	  63.1758	   2.2669
1216000000.0000	  63.1638	   2.3062
1224000000.0000	  63.2014	   2.3322
1232000000.0000	  63.2994	   2.3728
1240000000.0000	  63.3453	   2.4152
1248000000.0000	  63.3388	   2.4747
1256000000.0000	  63.3545	   2.5355
1264000000.0000	  63.2961	   2.6208
1272000000.0000	  63.1548	   2.7102
1280000000.0000	  63.0486	   2.7959
1288000000.0000	  62.9617	   2.8757
1296000000.0000	  62.8430	   2.9235
1304000000.0000	  62.6790	   2.9196
1312000000.0000	  62.4701	   2.8573
1320000000.0000	  62.2671	   2.7652
1328000000.0000	  62.0936	   2.6511
1336000000.0000	  62.0047	   2.5426
1344000000.0000	  62.0165	   2.4348
1352000000.0000	  62.0872	   2.3270
1360000000.0000	  62.1931	   2.2347
1368000000.0000	  62.3424	   2.1831
1376000000.0000	  62.5320	   2.1656
1384000000.0000	  62.7231	   2.1962
1392000000.0000	  62.8689	   2.2455
1400000000.0000	  62.9955	   2.3009
1408000000.0000	  63.1113	   2.3353
1416000000.0000	  63.2117	   2.3634
1424000000.0000	  63.3174	   2.3789
1432000000.0000	  63.4197	   2.3892
1440000000.0000	  63.4998	   2.3772
1448000000.0000	  63.5708	   2.3635
1456000000.0000	  63.6382	   2.3403
1464000000.0000	  63.7247	   2.3038
1472000000.0000	  63.7917	   2.2596
1480000000.0000	  63.8698	   2.2012
1488000000.0000	  63.9611	   2.1335
1496000000.0000	  64.0610	   2.0596
1504000000.0000	  64.2677	   1.9895
1512000000.0000	  64.3968	   1.9428
1520000000.0000	  64.5362	   1.9213
1528000000.0000	  64.6543	   1.9461
1536000000.0000	  64.7351	   2.0031
1544000000.0000	  64.7765	   2.0907
1552000000.0000	  64.7573	   2.1881
1560000000.0000	  64.6865	   2.2903
1568000000.0000	  64.5890	   2.3821
1576000000.0000	  64.5075	   2.4647
1584000000.0000	  64.4616	   2.5422
1592000000.0000	  64.4594	   2.6093
1600000000.0000	  64.4650	   2.6746
1608000000.0000	  64.4629	   2.7309
1616000000.0000	  64.4328	   2.7786
1624000000.0000	  64.3661	   2.8139
1632000000.0000	  64.3132	   2.8568
1640000000.0000	  64.3032	   2.8903
1648000000.0000	  64.3266	   2.9275
1656000000.0000	  64.3356	   2.9644
1664000000.0000	  64.3001	   2.9921
1672000000.0000	  64.2097	   3.0193
1680000000.0000	  64.0906	   3.0450
1688000000.0000	  63.9962	   3.0721
1696000000.0000	  63.9010	   3.0899
1704000000.0000	  63.8284	   3.1213
1712000000.0000	  63.6962	   3.1396
1720000000.0000	  63.5358	   3.1671
1728000000.0000	  63.3898	   3.2039
1736000000.0000	  63.2998	   3.2437
1744000000.0000	  63.1783	   3.2800
1752000000.0000	  62.9807	   3.3205
1760000000.0000	  62.7970	   3.3683
1768000000.0000	  62.5979	   3.4199
1776000000.0000	  62.4452	   3.4799
1784000000.0000	  62.3717	   3.5511
1792000000.0000	  62.3896	   3.6099
1800000000.0000	  62.4375	   3.6628
1808000000.0000	  62.4671	   3.6994
1816000000.0000	  62.4742	   3.7119
1824000000.0000	  62.5057	   3.7019
1832000000.0000	  62.5047	   3.6742
1840000000.0000	  62.4791	   3.6490
1848000000.0000	  62.4852	   3.6263
1856000000.0000	  62.4958	   3.6002
1864000000.0000	  62.5352	   3.5887
1872000000.0000	  62.5912	   3.5844
1880000000.0000	  62.6561	   3.5801
1888000000.0000	  62.6991	   3.5673
1896000000.0000	  62.7643	   3.5612
1904000000.0000	  62.8698	   3.5598
1912000000.0000	  62.9795	   3.5536
1920000000.0000	  63.0905	   3.5517
1928000000.0000	  63.1891	   3.5400
1936000000.0000	  63.2774	   3.5249
1944000000.0000	  63.3575	   3.5126
1952000000.0000	  63.4408	   3.5003
1960000000.0000	  63.5313	   3.4995
1968000000.0000	  63.6157	   3.4989
1976000000.0000	  63.6986	   3.4931
1984000000.0000	  63.7700	   3.4863
1992000000.0000	  63.8303	   3.4975
2000000000.0000	  63.8644	   3.5012
2008000000.0000	  63.8850	   3.5087
2016000000.0000	  63.8917	   3.5134
2024000000.0000	  63.8940	   3.5225
2032000000.0000	  63.8889	   3.5261
2040000000.0000	  63.8799	   3.5377
2048000000.0000	  63.8821	   3.5523
2056000000.0000	  63.8897	   3.5696
2064000000.0000	  63.8995	   3.5800
2072000000.0000	  63.9022	   3.5957
2080000000.0000	  63.9141	   3.6046
2088000000.0000	  63.9366	   3.6197
2096000000.0000	  63.9563	   3.6299
2104000000.0000	  63.9681	   3.6336
2112000000.0000	  63.9759	   3.6315
2120000000.0000	  63.9842	   3.6289
2128000000.0000	  63.9767	   3.6109
2136000000.0000	  63.9646	   3.6060
2144000000.0000	  63.9335	   3.5868
2152000000.0000	  63.8996	   3.5647
2160000000.0000	  63.8531	   3.5404
2168000000.0000	  63.8161	   3.5210
2176000000.0000	  63.7762	   3.4902
2184000000.0000	  63.7371	   3.4754
2192000000.0000	  63.7303	   3.4502
2200000000.0000	  63.7548	   3.4405
2208000000.0000	  63.8178	   3.4318
2216000000.0000	  63.9072	   3.4256
2224000000.0000	  64.0261	   3.4282
2232000000.0000	  64.1514	   3.4434
2240000000.0000	  64.2766	   3.4630
2248000000.0000	  64.3839	   3.4874
2256000000.0000	  64.4469	   3.5239
2264000000.0000	  64.4659	   3.5623
2272000000.0000	  64.4553	   3.6074
2280000000.0000	  64.4035	   3.6472
2288000000.0000	  64.2851	   3.6820
2296000000.0000	  64.1553	   3.7210
2304000000.0000	  64.0539	   3.7744
2312000000.0000	  63.9584	   3.8194
2320000000.0000	  63.9079	   3.8745
2328000000.0000	  63.8807	   3.9222
2336000000.0000	  63.8482	   3.9870
2344000000.0000	  63.7555	   4.0259
2352000000.0000	  63.6614	   4.0843
2360000000.0000	  63.5917	   4.1278
2368000000.0000	  63.5360	   4.1724
2376000000.0000	  63.4873	   4.2194
2384000000.0000	  63.4078	   4.2557
2392000000.0000	  63.3334	   4.2919
2400000000.0000	  63.2339	   4.3262
2408000000.0000	  63.1388	   4.3585
2416000000.0000	  63.0341	   4.3912
2424000000.0000	  62.9281	   4.4229
2432000000.0000	  62.8288	   4.4472
2440000000.0000	  62.7213	   4.4733
2448000000.0000	  62.6613	   4.4983
2456000000.0000	  62.6416	   4.5240
2464000000.0000	  62.6352	   4.5463
2472000000.0000	  62.6238	   4.5646
2480000000.0000	  62.6308	   4.5821
2488000000.0000	  62.6162	   4.5908
2496000000.0000	  62.5928	   4.6042
2504000000.0000	  62.5782	   4.6111
2512000000.0000	  62.5530	   4.6151
2520000000.0000	  62.5161	   4.6176
2528000000.0000	  62.4495	   4.6144
2536000000.0000	  62.3918	   4.6095
2544000000.0000	  62.3317	   4.6056
2552000000.0000	  62.2841	   4.5996
2560000000.0000	  62.2294	   4.5913
2568000000.0000	  62.1898	   4.5914
2576000000.0000	  62.1543	   4.5858
2584000000.0000	  62.1105	   4.5829
2592000000.0000	  62.0708	   4.5834
2600000000.0000	  62.0141	   4.5885
2608000000.0000	  61.9574	   4.5964
2616000000.0000	  61.8272	   4.5931
2624000000.0000	  61.7054	   4.6059
2632000000.0000	  61.5783	   4.6043
2640000000.0000	  61.4655	   4.6078
2648000000.0000	  61.3458	   4.6135
2656000000.0000	  61.2388	   4.6245
2664000000.0000	  61.1714	   4.6333
2672000000.0000	  61.1305	   4.6502
2680000000.0000	  61.1304	   4.6653
2688000000.0000	  61.1712	   4.6894
2696000000.0000	  61.2452	   4.7043
2704000000.0000	  61.2911	   4.7202
2712000000.0000	  61.3440	   4.7387
2720000000.0000	  61.3883	   4.7582
2728000000.0000	  61.3959	   4.7724
2736000000.0000	  61.3578	   4.7874
2744000000.0000	  61.2613	   4.7862
2752000000.0000	  61.1509	   4.7929
2760000000.0000	  61.0103	   4.7966
2768000000.0000	  60.8692	   4.7953
2776000000.0000	  60.7198	   4.7990
2784000000.0000	  60.5745	   4.8048
2792000000.0000	  60.4093	   4.8037
2800000000.0000	  60.2744	   4.8026
2808000000.0000	  60.1998	   4.8131
2816000000.0000	  60.1276	   4.8209
2824000000.0000	  60.0441	   4.8291
2832000000.0000	  59.9499	   4.8276
2840000000.0000	  59.8951	   4.8282
2848000000.0000	  59.8608	   4.8275
2856000000.0000	  59.8701	   4.8306
2864000000.0000	  59.9397	   4.8314
2872000000.0000	  60.0472	   4.8381
2880000000.0000	  60.1338	   4.8409
2888000000.0000	  60.1997	   4.8411
2896000000.0000	  60.2592	   4.8453
2904000000.0000	  60.2862	   4.8492
2912000000.0000	  60.2929	   4.8432
2920000000.0000	  60.3143	   4.8448
2928000000.0000	  60.3530	   4.8454
2936000000.0000	  60.4116	   4.8440
2944000000.0000	  60.4649	   4.8432
2952000000.0000	  60.5080	   4.8481
2960000000.0000	  60.5563	   4.8555
2968000000.0000	  60.6210	   4.8584
2976000000.0000	  60.6824	   4.8674
2984000000.0000	  60.7587	   4.8891
2992000000.0000	  60.8251	   4.9013
3000000000.0000	  60.8871	   4.9212
