frequency	e'	e''
1000000000.0000	  63.0773	   2.1104
1008000000.0000	  63.1940	   2.1462
1016000000.0000	  63.2641	   2.1706
1024000000.0000	  63.3603	   2.2117
1032000000.0000	  63.4254	   2.2358
1040000000.0000	  63.5149	   2.2756
1048000000.0000	  63.5476	   2.3058
1056000000.0000	  63.5178	   2.3344
1064000000.0000	  63.4152	   2.3618
1072000000.0000	  63.3307	   2.3896
1080000000.0000	  63.2687	   2.4092
1088000000.0000	  63.1914	   2.4384
1096000000.0000	  63.1488	   2.4756
1104000000.0000	  63.0507	   2.5020
1112000000.0000	  62.9363	   2.5447
1120000000.0000	  62.7641	   2.5876
1128000000.0000	  62.6144	   2.6136
1136000000.0000	  62.4951	   2.6593
1144000000.0000	  62.3821	   2.6990
1152000000.0000	  62.2549	   2.7436
1160000000.0000	  62.1620	   2.7912
1168000000.0000	  62.1732	   2.8453
1176000000.0000	  62.1766	   2.8670
1184000000.0000	  62.2055	   2.8848
1192000000.0000	  62.2147	   2.9109
1200000000.0000	  62.2429	   2.9296
1208000000.0000	  62.2407	   2.9507
1216000000.0000	  62.2460	   2.9677
1224000000.0000	  62.2692	   2.9779
1232000000.0000	  62.2891	   2.9804
1240000000.0000	  62.3289	   2.9971
1248000000.0000	  62.3722	   3.0095
1256000000.0000	  62.5028	   3.0077
1264000000.0000	  62.6005	   3.0061
1272000000.0000	  62.7218	   3.0026
1280000000.0000	  62.8140	   2.9854
1288000000.0000	  62.8921	   2.9719
1296000000.0000	  62.9341	   2.9357
1304000000.0000	  62.9461	   2.9000
1312000000.0000	  62.9350	   2.8578
1320000000.0000	  62.8749	   2.8027
1328000000.0000	  62.7974	   2.7411
1336000000.0000	  62.7127	   2.6781
1344000000.0000	  62.6886	   2.6151
1352000000.0000	  62.6843	   2.5378
1360000000.0000	  62.6905	   2.4854
1368000000.0000	  62.6876	   2.4513
1376000000.0000	  62.6546	   2.4545
1384000000.0000	  62.5915	   2.5022
1392000000.0000	  62.4987	   2.5590
1400000000.0000	  62.3959	   2.6223
1408000000.0000	  62.2765	   2.6706
1416000000.0000	  62.1742	   2.7083
1424000000.0000	  62.0654	   2.7295
1432000000.0000	  61.9914	   2.7455
1440000000.0000	  61.9162	   2.7442
1448000000.0000	  61.8534	   2.7338
1456000000.0000	  61.8026	   2.7094
1464000000.0000	  61.7908	   2.6699
1472000000.0000	  61.8213	   2.6279
1480000000.0000	  61.8762	   2.5713
1488000000.0000	  61.9801	   2.5044
1496000000.0000	  62.0749	   2.4261
1504000000.0000	  62.4379	   2.3560
1512000000.0000	  62.7050	   2.3129
1520000000.0000	  62.9810	   2.2859
1528000000.0000	  63.2527	   2.3124
1536000000.0000	  63.4820	   2.3735
1544000000.0000	  63.7172	   2.4668
1552000000.0000	  63.9313	   2.5666
1560000000.0000	  64.1182	   2.6754
1568000000.0000	  64.2516	   2.7785
