frequency	e'	e''
1000000000.0000	  11.2187	   0.3529
1008000000.0000	  11.2240	   0.3490
1016000000.0000	  11.2103	   0.3513
1024000000.0000	  11.2133	   0.3549
1032000000.0000	  11.2067	   0.3571
1040000000.0000	  11.2073	   0.3686
1048000000.0000	  11.2078	   0.3729
1056000000.0000	  11.2081	   0.3776
1064000000.0000	  11.2212	   0.3819
1072000000.0000	  11.2254	   0.3921
1080000000.0000	  11.2344	   0.3957
1088000000.0000	  11.2333	   0.3942
1096000000.0000	  11.2386	   0.3919
1104000000.0000	  11.2415	   0.3919
1112000000.0000	  11.2373	   0.3939
1120000000.0000	  11.2371	   0.4011
1128000000.0000	  11.2307	   0.3978
1136000000.0000	  11.2255	   0.4034
1144000000.0000	  11.2239	   0.4061
1152000000.0000	  11.2220	   0.4077
1160000000.0000	  11.2362	   0.4113
1168000000.0000	  11.2378	   0.4153
1176000000.0000	  11.2446	   0.4156
1184000000.0000	  11.2492	   0.4183
1192000000.0000	  11.2508	   0.4196
1200000000.0000	  11.2472	   0.4205
1208000000.0000	  11.2398	   0.4225
1216000000.0000	  11.2333	   0.4253
1224000000.0000	  11.2300	   0.4205
1232000000.0000	  11.2175	   0.4305
1240000000.0000	  11.2135	   0.4400
1248000000.0000	  11.2098	   0.4420
1256000000.0000	  11.2040	   0.4429
1264000000.0000	  11.2048	   0.4379
1272000000.0000	  11.2001	   0.4400
1280000000.0000	  11.1961	   0.4432
1288000000.0000	  11.1976	   0.4322
1296000000.0000	  11.1950	   0.4337
1304000000.0000	  11.1883	   0.4351
1312000000.0000	  11.1829	   0.4244
1320000000.0000	  11.1741	   0.4257
1328000000.0000	  11.1682	   0.4210
1336000000.0000	  11.1712	   0.4191
1344000000.0000	  11.1740	   0.4126
1352000000.0000	  11.1813	   0.4050
1360000000.0000	  11.1898	   0.4001
1368000000.0000	  11.2037	   0.4011
1376000000.0000	  11.2249	   0.3942
1384000000.0000	  11.2398	   0.4019
1392000000.0000	  11.2455	   0.4096
1400000000.0000	  11.2494	   0.4241
1408000000.0000	  11.2454	   0.4344
1416000000.0000	  11.2444	   0.4331
1424000000.0000	  11.2382	   0.4406
1432000000.0000	  11.2331	   0.4459
1440000000.0000	  11.2287	   0.4418
1448000000.0000	  11.2233	   0.4361
1456000000.0000	  11.2224	   0.4348
1464000000.0000	  11.2186	   0.4249
1472000000.0000	  11.2217	   0.4159
1480000000.0000	  11.2287	   0.4037
1488000000.0000	  11.2337	   0.3923
1496000000.0000	  11.2405	   0.3791
1504000000.0000	  11.2655	   0.3620
1512000000.0000	  11.2830	   0.3577
1520000000.0000	  11.3084	   0.3583
1528000000.0000	  11.3312	   0.3623
1536000000.0000	  11.3513	   0.3756
1544000000.0000	  11.3712	   0.3892
1552000000.0000	  11.3809	   0.3991
1560000000.0000	  11.3847	   0.4165
1568000000.0000	  11.3982	   0.4299
1576000000.0000	  11.3924	   0.4403
1584000000.0000	  11.3909	   0.4564
1592000000.0000	  11.3926	   0.4735
1600000000.0000	  11.3922	   0.4833
1608000000.0000	  11.3899	   0.4927
1616000000.0000	  11.3857	   0.5041
1624000000.0000	  11.3880	   0.5096
1632000000.0000	  11.3861	   0.5119
1640000000.0000	  11.3848	   0.5136
1648000000.0000	  11.3767	   0.5222
1656000000.0000	  11.3755	   0.5209
1664000000.0000	  11.3703	   0.5298
1672000000.0000	  11.3671	   0.5298
1680000000.0000	  11.3643	   0.5349
1688000000.0000	  11.3658	   0.5435
1696000000.0000	  11.3661	   0.5465
1704000000.0000	  11.3734	   0.5555
1712000000.0000	  11.3777	   0.5569
1720000000.0000	  11.3871	   0.5614
1728000000.0000	  11.3922	   0.5636
1736000000.0000	  11.3953	   0.5696
1744000000.0000	  11.3909	   0.5716
1752000000.0000	  11.3875	   0.5767
1760000000.0000	  11.3787	   0.5715
1768000000.0000	  11.3736	   0.5782
1776000000.0000	  11.3747	   0.5832
1784000000.0000	  11.3746	   0.5908
1792000000.0000	  11.3797	   0.6045
1800000000.0000	  11.3813	   0.6073
1808000000.0000	  11.3921	   0.6106
1816000000.0000	  11.3953	   0.6218
1824000000.0000	  11.4005	   0.6264
1832000000.0000	  11.3975	   0.6354
1840000000.0000	  11.3920	   0.6368
1848000000.0000	  11.3829	   0.6358
1856000000.0000	  11.3738	   0.6350
1864000000.0000	  11.3665	   0.6336
1872000000.0000	  11.3609	   0.6442
1880000000.0000	  11.3551	   0.6495
1888000000.0000	  11.3517	   0.6530
1896000000.0000	  11.3578	   0.6598
1904000000.0000	  11.3657	   0.6614
1912000000.0000	  11.3668	   0.6645
1920000000.0000	  11.3740	   0.6654
1928000000.0000	  11.3744	   0.6614
1936000000.0000	  11.3699	   0.6537
1944000000.0000	  11.3606	   0.6470
1952000000.0000	  11.3519	   0.6470
1960000000.0000	  11.3517	   0.6487
1968000000.0000	  11.3435	   0.6496
1976000000.0000	  11.3383	   0.6533
1984000000.0000	  11.3413	   0.6543
1992000000.0000	  11.3480	   0.6581
2000000000.0000	  11.3619	   0.6593
2008000000.0000	  11.3672	   0.6661
2016000000.0000	  11.3810	   0.6634
2024000000.0000	  11.3853	   0.6633
2032000000.0000	  11.3824	   0.6618
2040000000.0000	  11.3813	   0.6603
2048000000.0000	  11.3732	   0.6628
2056000000.0000	  11.3654	   0.6615
2064000000.0000	  11.3569	   0.6704
2072000000.0000	  11.3494	   0.6740
2080000000.0000	  11.3483	   0.6810
2088000000.0000	  11.3505	   0.6848
2096000000.0000	  11.3616	   0.6879
2104000000.0000	  11.3604	   0.6845
2112000000.0000	  11.3692	   0.6768
2120000000.0000	  11.3693	   0.6776
2128000000.0000	  11.3696	   0.6680
2136000000.0000	  11.3669	   0.6617
2144000000.0000	  11.3583	   0.6606
2152000000.0000	  11.3507	   0.6588
2160000000.0000	  11.3466	   0.6554
2168000000.0000	  11.3477	   0.6598
2176000000.0000	  11.3514	   0.6571
2184000000.0000	  11.3586	   0.6567
2192000000.0000	  11.3722	   0.6499
2200000000.0000	  11.3867	   0.6479
2208000000.0000	  11.4016	   0.6423
2216000000.0000	  11.4165	   0.6365
2224000000.0000	  11.4297	   0.6299
2232000000.0000	  11.4369	   0.6271
2240000000.0000	  11.4433	   0.6253
2248000000.0000	  11.4484	   0.6230
2256000000.0000	  11.4563	   0.6308
2264000000.0000	  11.4663	   0.6438
2272000000.0000	  11.4739	   0.6512
2280000000.0000	  11.4863	   0.6616
2288000000.0000	  11.5020	   0.6720
2296000000.0000	  11.5158	   0.6805
2304000000.0000	  11.5247	   0.6828
2312000000.0000	  11.5361	   0.6893
2320000000.0000	  11.5442	   0.6895
2328000000.0000	  11.5465	   0.6995
2336000000.0000	  11.5497	   0.7052
2344000000.0000	  11.5435	   0.7150
2352000000.0000	  11.5414	   0.7275
2360000000.0000	  11.5414	   0.7437
2368000000.0000	  11.5389	   0.7552
2376000000.0000	  11.5448	   0.7713
2384000000.0000	  11.5488	   0.7815
2392000000.0000	  11.5561	   0.7890
2400000000.0000	  11.5572	   0.7953
2408000000.0000	  11.5633	   0.7955
2416000000.0000	  11.5632	   0.8049
2424000000.0000	  11.5625	   0.8098
2432000000.0000	  11.5598	   0.8144
2440000000.0000	  11.5486	   0.8250
2448000000.0000	  11.5473	   0.8323
2456000000.0000	  11.5460	   0.8406
2464000000.0000	  11.5428	   0.8551
2472000000.0000	  11.5451	   0.8601
2480000000.0000	  11.5479	   0.8700
2488000000.0000	  11.5530	   0.8710
2496000000.0000	  11.5553	   0.8737
2504000000.0000	  11.5635	   0.8783
2512000000.0000	  11.5608	   0.8787
2520000000.0000	  11.5582	   0.8827
2528000000.0000	  11.5565	   0.8887
2536000000.0000	  11.5546	   0.8986
2544000000.0000	  11.5516	   0.9062
2552000000.0000	  11.5489	   0.9151
2560000000.0000	  11.5494	   0.9214
2568000000.0000	  11.5498	   0.9326
2576000000.0000	  11.5536	   0.9333
2584000000.0000	  11.5544	   0.9330
2592000000.0000	  11.5559	   0.9348
2600000000.0000	  11.5594	   0.9325
2608000000.0000	  11.5519	   0.9380
