frequency	e'	e''
1000000000.0000	  27.0415	   0.6968
1008000000.0000	  27.0190	   0.7009
1016000000.0000	  27.0014	   0.7081
1024000000.0000	  26.9948	   0.7209
1032000000.0000	  26.9771	   0.7264
1040000000.0000	  26.9606	   0.7426
1048000000.0000	  26.9453	   0.7509
1056000000.0000	  26.9314	   0.7616
1064000000.0000	  26.9227	   0.7681
1072000000.0000	  26.9147	   0.7764
1080000000.0000	  26.9281	   0.7784
1088000000.0000	  26.9336	   0.7863
1096000000.0000	  26.9367	   0.7901
1104000000.0000	  26.9548	   0.7900
1112000000.0000	  26.9651	   0.8012
1120000000.0000	  26.9807	   0.8069
1128000000.0000	  26.9858	   0.8055
1136000000.0000	  26.9954	   0.8163
1144000000.0000	  27.0080	   0.8179
1152000000.0000	  27.0251	   0.8261
1160000000.0000	  27.0365	   0.8315
1168000000.0000	  27.0520	   0.8381
1176000000.0000	  27.0592	   0.8376
1184000000.0000	  27.0406	   0.8370
1192000000.0000	  27.0258	   0.8429
1200000000.0000	  27.0028	   0.8405
1208000000.0000	  26.9793	   0.8453
1216000000.0000	  26.8951	   0.8488
1224000000.0000	  26.8217	   0.8489
1232000000.0000	  26.7465	   0.8520
1240000000.0000	  26.6775	   0.8555
1248000000.0000	  26.6630	   0.8594
1256000000.0000	  26.6378	   0.8576
1264000000.0000	  26.6695	   0.8627
1272000000.0000	  26.6518	   0.8647
1280000000.0000	  26.6515	   0.8609
1288000000.0000	  26.6013	   0.8574
1296000000.0000	  26.5503	   0.8570
1304000000.0000	  26.5004	   0.8593
1312000000.0000	  26.4672	   0.8436
1320000000.0000	  26.4321	   0.8385
1328000000.0000	  26.4099	   0.8259
1336000000.0000	  26.3869	   0.8122
1344000000.0000	  26.3726	   0.7924
1352000000.0000	  26.3719	   0.7660
1360000000.0000	  26.3764	   0.7493
1368000000.0000	  26.3985	   0.7443
1376000000.0000	  26.4276	   0.7455
1384000000.0000	  26.4411	   0.7669
1392000000.0000	  26.4359	   0.7927
1400000000.0000	  26.4154	   0.8221
1408000000.0000	  26.3720	   0.8443
1416000000.0000	  26.2898	   0.8573
1424000000.0000	  26.1761	   0.8667
1432000000.0000	  26.1063	   0.8770
1440000000.0000	  26.0518	   0.8747
1448000000.0000	  25.9819	   0.8666
1456000000.0000	  25.8651	   0.8540
1464000000.0000	  25.7666	   0.8338
1472000000.0000	  25.7128	   0.8137
1480000000.0000	  25.6574	   0.7887
1488000000.0000	  25.6196	   0.7626
1496000000.0000	  25.5979	   0.7347
1504000000.0000	  25.5549	   0.6963
1512000000.0000	  25.5669	   0.6821
1520000000.0000	  25.5848	   0.6758
1528000000.0000	  25.6252	   0.6879
1536000000.0000	  25.6983	   0.7128
1544000000.0000	  25.8962	   0.7482
1552000000.0000	  26.2102	   0.8012
1560000000.0000	  26.4739	   0.8443
1568000000.0000	  26.5291	   0.8908
1576000000.0000	  26.5689	   0.9263
1584000000.0000	  26.7670	   0.9658
1592000000.0000	  27.1484	   1.0044
1600000000.0000	  27.5870	   1.0479
1608000000.0000	  28.0216	   1.0853
1616000000.0000	  28.3595	   1.1217
1624000000.0000	  28.6449	   1.1549
1632000000.0000	  28.8148	   1.1776
1640000000.0000	  29.0435	   1.2023
1648000000.0000	  29.4723	   1.2362
1656000000.0000	  29.8932	   1.2628
1664000000.0000	  29.9901	   1.2750
1672000000.0000	  30.1126	   1.2929
1680000000.0000	  30.2542	   1.3120
1688000000.0000	  30.3585	   1.3265
1696000000.0000	  30.5535	   1.3482
1704000000.0000	  30.7029	   1.3620
1712000000.0000	  30.9124	   1.3796
1720000000.0000	  31.3235	   1.4115
1728000000.0000	  31.8829	   1.4478
1736000000.0000	  32.4313	   1.4860
1744000000.0000	  32.7557	   1.5096
1752000000.0000	  32.9465	   1.5279
1760000000.0000	  33.0314	   1.5427
1768000000.0000	  32.9471	   1.5566
1776000000.0000	  32.8958	   1.5694
1784000000.0000	  32.9621	   1.5965
1792000000.0000	  33.0607	   1.6198
1800000000.0000	  33.2171	   1.6468
1808000000.0000	  33.3553	   1.6752
1816000000.0000	  33.4576	   1.6962
1824000000.0000	  33.5064	   1.7162
1832000000.0000	  33.5609	   1.7325
1840000000.0000	  33.6359	   1.7499
1848000000.0000	  33.6934	   1.7538
1856000000.0000	  33.7153	   1.7608
1864000000.0000	  33.7367	   1.7611
1872000000.0000	  33.7805	   1.7693
1880000000.0000	  33.8156	   1.7739
1888000000.0000	  33.8413	   1.7767
1896000000.0000	  33.8766	   1.7776
1904000000.0000	  33.9036	   1.7780
1912000000.0000	  33.9491	   1.7821
1920000000.0000	  34.0092	   1.7823
1928000000.0000	  34.1447	   1.7846
1936000000.0000	  34.2851	   1.7842
1944000000.0000	  34.3110	   1.7787
1952000000.0000	  34.3068	   1.7742
1960000000.0000	  34.2701	   1.7715
1968000000.0000	  34.2335	   1.7755
1976000000.0000	  34.1635	   1.7705
1984000000.0000	  34.0862	   1.7675
1992000000.0000	  34.0185	   1.7699
2000000000.0000	  33.9791	   1.7685
2008000000.0000	  33.9820	   1.7811
2016000000.0000	  33.9653	   1.7735
2024000000.0000	  33.9075	   1.7776
2032000000.0000	  33.8163	   1.7735
2040000000.0000	  33.6877	   1.7670
2048000000.0000	  33.4778	   1.7668
2056000000.0000	  33.3092	   1.7681
2064000000.0000	  33.1340	   1.7702
2072000000.0000	  32.9714	   1.7713
2080000000.0000	  32.8238	   1.7722
2088000000.0000	  32.6924	   1.7736
2096000000.0000	  32.5520	   1.7640
2104000000.0000	  32.3910	   1.7622
2112000000.0000	  32.2766	   1.7498
2120000000.0000	  32.2194	   1.7422
2128000000.0000	  32.1534	   1.7324
2136000000.0000	  32.0193	   1.7180
2144000000.0000	  31.8621	   1.7046
2152000000.0000	  31.7085	   1.6911
2160000000.0000	  31.5806	   1.6765
2168000000.0000	  31.4883	   1.6656
2176000000.0000	  31.4816	   1.6575
2184000000.0000	  31.4826	   1.6453
2192000000.0000	  31.4288	   1.6320
2200000000.0000	  31.3131	   1.6153
2208000000.0000	  31.2090	   1.5993
2216000000.0000	  31.1057	   1.5820
2224000000.0000	  30.9895	   1.5656
2232000000.0000	  30.9015	   1.5577
2240000000.0000	  30.8364	   1.5530
2248000000.0000	  30.8010	   1.5562
2256000000.0000	  30.8060	   1.5728
2264000000.0000	  30.8588	   1.5909
2272000000.0000	  30.9377	   1.6140
2280000000.0000	  30.9636	   1.6338
2288000000.0000	  31.0520	   1.6515
2296000000.0000	  31.1033	   1.6717
2304000000.0000	  31.0680	   1.6875
2312000000.0000	  30.9998	   1.7069
2320000000.0000	  30.9764	   1.7225
2328000000.0000	  30.9897	   1.7433
2336000000.0000	  31.0419	   1.7808
2344000000.0000	  31.0628	   1.8010
2352000000.0000	  31.1228	   1.8369
2360000000.0000	  31.1307	   1.8677
2368000000.0000	  31.1272	   1.8958
2376000000.0000	  31.1306	   1.9233
