frequency	e'	e''
1000000000.0000	  42.7290	   1.0689
1008000000.0000	  42.9953	   1.1066
1016000000.0000	  43.3536	   1.1355
1024000000.0000	  43.4871	   1.1666
1032000000.0000	  43.3128	   1.1698
1040000000.0000	  43.2484	   1.1660
1048000000.0000	  43.3209	   1.1719
1056000000.0000	  43.1979	   1.1662
1064000000.0000	  42.9938	   1.1462
1072000000.0000	  42.7021	   1.1347
1080000000.0000	  42.3527	   1.1184
1088000000.0000	  42.3327	   1.1048
1096000000.0000	  42.5507	   1.1074
1104000000.0000	  42.6888	   1.1050
1112000000.0000	  42.5801	   1.0845
1120000000.0000	  42.3865	   1.0700
1128000000.0000	  42.3984	   1.0516
1136000000.0000	  42.5284	   1.0404
1144000000.0000	  42.5937	   1.0376
1152000000.0000	  42.5782	   1.0327
1160000000.0000	  42.5405	   1.0215
1168000000.0000	  42.5473	   1.0165
1176000000.0000	  42.6822	   1.0128
1184000000.0000	  42.9421	   1.0167
1192000000.0000	  43.1955	   1.0205
1200000000.0000	  43.3673	   1.0278
1208000000.0000	  43.4424	   1.0322
1216000000.0000	  43.5205	   1.0366
1224000000.0000	  43.6311	   1.0447
1232000000.0000	  43.7141	   1.0564
1240000000.0000	  43.7063	   1.0621
1248000000.0000	  43.5941	   1.0645
1256000000.0000	  43.5449	   1.0708
1264000000.0000	  43.5079	   1.0713
1272000000.0000	  43.3867	   1.0715
1280000000.0000	  43.2089	   1.0753
1288000000.0000	  43.0090	   1.0748
1296000000.0000	  42.7907	   1.0703
1304000000.0000	  42.5834	   1.0769
1312000000.0000	  42.3581	   1.0695
1320000000.0000	  42.1330	   1.0676
1328000000.0000	  41.8942	   1.0638
1336000000.0000	  41.6360	   1.0612
1344000000.0000	  41.4352	   1.0599
1352000000.0000	  41.3666	   1.0657
1360000000.0000	  41.4262	   1.0616
1368000000.0000	  41.5480	   1.0721
1376000000.0000	  41.5994	   1.0725
1384000000.0000	  41.6254	   1.0794
1392000000.0000	  41.7728	   1.0879
1400000000.0000	  42.0156	   1.0976
1408000000.0000	  42.2368	   1.1102
1416000000.0000	  42.3418	   1.1151
