frequency	e'	e''
1000000000.0000	   7.8980	   0.0881
1008000000.0000	   7.8962	   0.0878
1016000000.0000	   7.8976	   0.0952
1024000000.0000	   7.9026	   0.0922
1032000000.0000	   7.9018	   0.0951
1040000000.0000	   7.8968	   0.0937
1048000000.0000	   7.9002	   0.0955
1056000000.0000	   7.9032	   0.1024
1064000000.0000	   7.9052	   0.1033
1072000000.0000	   7.9017	   0.1023
1080000000.0000	   7.9012	   0.1090
1088000000.0000	   7.8959	   0.1081
1096000000.0000	   7.9011	   0.1102
1104000000.0000	   7.8943	   0.1093
1112000000.0000	   7.8864	   0.1107
1120000000.0000	   7.8890	   0.1068
1128000000.0000	   7.8821	   0.1191
1136000000.0000	   7.8788	   0.1164
1144000000.0000	   7.8729	   0.1222
1152000000.0000	   7.8717	   0.1232
1160000000.0000	   7.8727	   0.1208
1168000000.0000	   7.8714	   0.1230
1176000000.0000	   7.8693	   0.1257
1184000000.0000	   7.8685	   0.1254
1192000000.0000	   7.8668	   0.1263
1200000000.0000	   7.8657	   0.1241
1208000000.0000	   7.8671	   0.1254
1216000000.0000	   7.8638	   0.1293
1224000000.0000	   7.8635	   0.1353
1232000000.0000	   7.8680	   0.1384
1240000000.0000	   7.8657	   0.1407
1248000000.0000	   7.8709	   0.1411
1256000000.0000	   7.8678	   0.1514
1264000000.0000	   7.8683	   0.1500
1272000000.0000	   7.8664	   0.1551
1280000000.0000	   7.8643	   0.1513
1288000000.0000	   7.8627	   0.1463
1296000000.0000	   7.8516	   0.1497
1304000000.0000	   7.8517	   0.1506
1312000000.0000	   7.8530	   0.1506
1320000000.0000	   7.8454	   0.1485
1328000000.0000	   7.8493	   0.1522
1336000000.0000	   7.8475	   0.1527
1344000000.0000	   7.8453	   0.1598
1352000000.0000	   7.8492	   0.1609
1360000000.0000	   7.8413	   0.1617
1368000000.0000	   7.8455	   0.1664
1376000000.0000	   7.8416	   0.1620
1384000000.0000	   7.8413	   0.1587
1392000000.0000	   7.8387	   0.1617
1400000000.0000	   7.8350	   0.1604
1408000000.0000	   7.8434	   0.1644
1416000000.0000	   7.8612	   0.1665
1424000000.0000	   7.8653	   0.1628
1432000000.0000	   7.8656	   0.1636
1440000000.0000	   7.8694	   0.1640
1448000000.0000	   7.8721	   0.1672
1456000000.0000	   7.8712	   0.1677
1464000000.0000	   7.8814	   0.1720
1472000000.0000	   7.8843	   0.1644
1480000000.0000	   7.8931	   0.1653
1488000000.0000	   7.8985	   0.1656
1496000000.0000	   7.8978	   0.1649
1504000000.0000	   7.9044	   0.1686
1512000000.0000	   7.9067	   0.1652
1520000000.0000	   7.9095	   0.1712
1528000000.0000	   7.9027	   0.1735
1536000000.0000	   7.9066	   0.1729
1544000000.0000	   7.9105	   0.1758
1552000000.0000	   7.9136	   0.1716
1560000000.0000	   7.9160	   0.1757
1568000000.0000	   7.9093	   0.1804
1576000000.0000	   7.9122	   0.1774
1584000000.0000	   7.9122	   0.1803
1592000000.0000	   7.9111	   0.1797
1600000000.0000	   7.9167	   0.1797
1608000000.0000	   7.9111	   0.1809
1616000000.0000	   7.9138	   0.1822
1624000000.0000	   7.9122	   0.1849
1632000000.0000	   7.9113	   0.1813
1640000000.0000	   7.9107	   0.1802
1648000000.0000	   7.9111	   0.1848
1656000000.0000	   7.9070	   0.1807
1664000000.0000	   7.9068	   0.1743
1672000000.0000	   7.9031	   0.1733
1680000000.0000	   7.9021	   0.1742
