frequency	e'	e''
1000000000.0000	  57.9137	   0.9061
1008000000.0000	  57.9355	   0.9170
1016000000.0000	  57.9728	   0.9230
1024000000.0000	  58.0030	   0.9327
1032000000.0000	  58.0535	   0.9419
1040000000.0000	  58.0840	   0.9519
1048000000.0000	  58.1283	   0.9601
1056000000.0000	  58.1794	   0.9657
1064000000.0000	  58.2403	   0.9824
1072000000.0000	  58.2739	   1.0050
1080000000.0000	  58.3014	   1.0187
1088000000.0000	  58.3317	   1.0329
1096000000.0000	  58.3544	   1.0541
1104000000.0000	  58.3564	   1.0667
1112000000.0000	  58.3540	   1.0867
1120000000.0000	  58.3412	   1.1019
1128000000.0000	  58.3309	   1.1236
1136000000.0000	  58.3123	   1.1479
1144000000.0000	  58.2737	   1.1807
1152000000.0000	  58.2389	   1.2297
1160000000.0000	  58.2221	   1.2783
1168000000.0000	  58.2001	   1.3446
1176000000.0000	  58.1524	   1.4286
1184000000.0000	  58.0904	   1.5170
1192000000.0000	  58.0027	   1.6163
1200000000.0000	  57.8824	   1.7157
1208000000.0000	  57.7430	   1.7802
1216000000.0000	  57.5945	   1.7975
1224000000.0000	  57.4421	   1.7757
1232000000.0000	  57.3188	   1.7374
1240000000.0000	  57.2558	   1.6900
1248000000.0000	  57.2305	   1.6650
1256000000.0000	  57.2033	   1.6201
1264000000.0000	  57.1805	   1.5725
1272000000.0000	  57.1629	   1.5258
1280000000.0000	  57.1704	   1.4850
1288000000.0000	  57.2141	   1.4504
1296000000.0000	  57.2689	   1.4226
1304000000.0000	  57.3206	   1.4021
1312000000.0000	  57.3497	   1.3798
1320000000.0000	  57.3854	   1.3663
1328000000.0000	  57.4400	   1.3477
1336000000.0000	  57.4863	   1.3407
1344000000.0000	  57.5225	   1.3338
1352000000.0000	  57.5471	   1.3342
1360000000.0000	  57.5399	   1.3254
1368000000.0000	  57.5494	   1.3299
1376000000.0000	  57.5544	   1.3316
1384000000.0000	  57.5379	   1.3324
1392000000.0000	  57.5295	   1.3310
1400000000.0000	  57.5232	   1.3438
1408000000.0000	  57.5143	   1.3463
1416000000.0000	  57.5033	   1.3417
1424000000.0000	  57.4935	   1.3424
1432000000.0000	  57.4830	   1.3455
1440000000.0000	  57.4707	   1.3514
1448000000.0000	  57.4703	   1.3415
1456000000.0000	  57.4764	   1.3468
1464000000.0000	  57.5110	   1.3435
1472000000.0000	  57.5693	   1.3417
1480000000.0000	  57.6045	   1.3457
1488000000.0000	  57.6108	   1.3416
1496000000.0000	  57.6366	   1.3375
1504000000.0000	  57.7159	   1.3376
1512000000.0000	  57.7313	   1.3451
1520000000.0000	  57.7192	   1.3622
1528000000.0000	  57.6621	   1.3766
1536000000.0000	  57.6710	   1.3910
1544000000.0000	  57.6929	   1.4057
1552000000.0000	  57.7302	   1.4162
1560000000.0000	  57.7460	   1.4259
1568000000.0000	  57.7666	   1.4388
1576000000.0000	  57.7819	   1.4467
1584000000.0000	  57.8001	   1.4571
1592000000.0000	  57.8318	   1.4627
1600000000.0000	  57.8544	   1.4686
1608000000.0000	  57.8730	   1.4810
1616000000.0000	  57.8906	   1.4844
1624000000.0000	  57.9018	   1.4899
1632000000.0000	  57.9134	   1.4959
1640000000.0000	  57.9200	   1.5020
1648000000.0000	  57.9094	   1.5064
1656000000.0000	  57.9202	   1.5050
1664000000.0000	  57.9349	   1.5028
1672000000.0000	  57.9471	   1.5066
1680000000.0000	  57.9693	   1.5131
1688000000.0000	  57.9869	   1.5174
1696000000.0000	  57.9994	   1.5220
1704000000.0000	  58.0298	   1.5382
1712000000.0000	  58.0645	   1.5618
1720000000.0000	  58.0981	   1.5990
1728000000.0000	  58.1389	   1.6448
1736000000.0000	  58.1690	   1.7055
1744000000.0000	  58.1928	   1.7767
1752000000.0000	  58.2220	   1.8630
1760000000.0000	  58.2127	   1.9650
1768000000.0000	  58.1634	   2.0616
1776000000.0000	  58.0943	   2.1575
1784000000.0000	  57.9944	   2.2321
1792000000.0000	  57.8797	   2.2636
1800000000.0000	  57.7787	   2.2707
1808000000.0000	  57.6801	   2.2461
1816000000.0000	  57.6150	   2.1854
1824000000.0000	  57.5735	   2.1193
1832000000.0000	  57.5521	   2.0591
1840000000.0000	  57.5532	   2.0061
1848000000.0000	  57.5641	   1.9584
1856000000.0000	  57.5782	   1.9294
1864000000.0000	  57.5732	   1.8977
1872000000.0000	  57.5543	   1.8711
1880000000.0000	  57.5228	   1.8334
1888000000.0000	  57.4913	   1.7906
1896000000.0000	  57.4631	   1.7396
1904000000.0000	  57.4319	   1.6885
1912000000.0000	  57.4020	   1.6533
1920000000.0000	  57.3687	   1.6165
1928000000.0000	  57.3177	   1.5882
1936000000.0000	  57.2540	   1.5406
1944000000.0000	  57.1801	   1.4837
1952000000.0000	  57.1145	   1.4187
1960000000.0000	  57.0556	   1.3358
1968000000.0000	  57.0058	   1.2430
1976000000.0000	  56.9785	   1.1544
1984000000.0000	  56.9614	   1.0538
1992000000.0000	  56.9721	   0.9650
2000000000.0000	  57.0102	   0.8668
2008000000.0000	  57.0819	   0.7837
2016000000.0000	  57.1687	   0.7338
2024000000.0000	  57.2572	   0.6893
2032000000.0000	  57.3707	   0.6686
2040000000.0000	  57.4917	   0.6742
2048000000.0000	  57.6203	   0.7086
2056000000.0000	  57.7245	   0.7675
2064000000.0000	  57.8072	   0.8472
2072000000.0000	  57.8852	   0.9380
2080000000.0000	  57.9360	   1.0345
2088000000.0000	  57.9611	   1.1399
2096000000.0000	  57.9600	   1.2222
2104000000.0000	  57.9701	   1.3245
2112000000.0000	  57.9809	   1.4119
2120000000.0000	  57.9792	   1.4960
2128000000.0000	  57.9632	   1.5656
2136000000.0000	  57.9538	   1.6286
2144000000.0000	  57.9428	   1.6783
2152000000.0000	  57.9430	   1.7267
2160000000.0000	  57.9440	   1.7653
2168000000.0000	  57.9343	   1.7981
2176000000.0000	  57.9131	   1.8243
2184000000.0000	  57.8944	   1.8478
2192000000.0000	  57.8823	   1.8717
2200000000.0000	  57.8731	   1.8865
2208000000.0000	  57.8378	   1.8946
2216000000.0000	  57.7937	   1.9029
2224000000.0000	  57.7469	   1.9021
2232000000.0000	  57.7038	   1.8977
2240000000.0000	  57.6546	   1.8815
2248000000.0000	  57.6178	   1.8521
2256000000.0000	  57.5782	   1.8114
2264000000.0000	  57.5400	   1.7630
2272000000.0000	  57.5024	   1.6977
2280000000.0000	  57.4717	   1.6210
2288000000.0000	  57.4666	   1.5338
2296000000.0000	  57.4960	   1.4382
2304000000.0000	  57.5347	   1.3452
2312000000.0000	  57.6077	   1.2625
2320000000.0000	  57.7047	   1.1786
2328000000.0000	  57.8255	   1.1210
2336000000.0000	  57.9727	   1.0947
