frequency	e'	e''
1000000000.0000	  48.4376	   1.1556
1008000000.0000	  48.6565	   1.1801
1016000000.0000	  48.8887	   1.1860
1024000000.0000	  49.1843	   1.1984
1032000000.0000	  49.6582	   1.2019
1040000000.0000	  50.1839	   1.2138
1048000000.0000	  50.6687	   1.2423
1056000000.0000	  51.0220	   1.2387
1064000000.0000	  51.2928	   1.2541
1072000000.0000	  51.4859	   1.2752
1080000000.0000	  51.6244	   1.2500
1088000000.0000	  51.6550	   1.2608
1096000000.0000	  51.6525	   1.2565
1104000000.0000	  51.5721	   1.2546
1112000000.0000	  51.3452	   1.2513
1120000000.0000	  51.1039	   1.2493
1128000000.0000	  50.8863	   1.2198
1136000000.0000	  50.6726	   1.2071
1144000000.0000	  50.5067	   1.1965
1152000000.0000	  50.3826	   1.1802
1160000000.0000	  50.2551	   1.1471
1168000000.0000	  50.0860	   1.1309
1176000000.0000	  49.9416	   1.1135
1184000000.0000	  49.8732	   1.1022
1192000000.0000	  49.8775	   1.0975
1200000000.0000	  49.8325	   1.0868
1208000000.0000	  49.7196	   1.0808
1216000000.0000	  49.5961	   1.0762
1224000000.0000	  49.4805	   1.0779
1232000000.0000	  49.4144	   1.0828
1240000000.0000	  49.4511	   1.0876
1248000000.0000	  49.5352	   1.0959
1256000000.0000	  49.6102	   1.1023
1264000000.0000	  49.6922	   1.1077
1272000000.0000	  49.7376	   1.1126
1280000000.0000	  49.7625	   1.1171
1288000000.0000	  49.7417	   1.1186
1296000000.0000	  49.6585	   1.1133
1304000000.0000	  49.4659	   1.1194
1312000000.0000	  49.2634	   1.1097
1320000000.0000	  49.1256	   1.1121
1328000000.0000	  48.9823	   1.1107
1336000000.0000	  48.7665	   1.1097
1344000000.0000	  48.4897	   1.1039
1352000000.0000	  48.3844	   1.1148
1360000000.0000	  48.3979	   1.1054
1368000000.0000	  48.3031	   1.1113
1376000000.0000	  48.1335	   1.1068
1384000000.0000	  48.0054	   1.1128
1392000000.0000	  47.9477	   1.1094
1400000000.0000	  47.8760	   1.1132
1408000000.0000	  47.6805	   1.1148
1416000000.0000	  47.3375	   1.1082
1424000000.0000	  46.9344	   1.1058
1432000000.0000	  46.8084	   1.1050
1440000000.0000	  46.7514	   1.1101
1448000000.0000	  46.8015	   1.1118
1456000000.0000	  46.9602	   1.1185
1464000000.0000	  47.1649	   1.1222
1472000000.0000	  47.3271	   1.1189
1480000000.0000	  47.4608	   1.1242
1488000000.0000	  47.5908	   1.1264
1496000000.0000	  47.7351	   1.1279
