frequency	e'	e''
1000000000.0000	   5.4626	   0.2680
1008000000.0000	   5.4688	   0.2707
1016000000.0000	   5.4609	   0.2679
1024000000.0000	   5.4677	   0.2665
1032000000.0000	   5.4643	   0.2645
1040000000.0000	   5.4836	   0.2623
1048000000.0000	   5.4831	   0.2620
1056000000.0000	   5.4739	   0.2629
1064000000.0000	   5.4599	   0.2618
1072000000.0000	   5.4681	   0.2587
1080000000.0000	   5.4673	   0.2655
1088000000.0000	   5.4606	   0.2630
1096000000.0000	   5.4592	   0.2636
1104000000.0000	   5.4585	   0.2584
1112000000.0000	   5.4513	   0.2578
1120000000.0000	   5.4488	   0.2529
1128000000.0000	   5.4446	   0.2587
1136000000.0000	   5.4387	   0.2568
1144000000.0000	   5.4312	   0.2610
1152000000.0000	   5.4312	   0.2639
1160000000.0000	   5.4248	   0.2624
1168000000.0000	   5.4317	   0.2584
1176000000.0000	   5.4246	   0.2548
1184000000.0000	   5.4266	   0.2563
1192000000.0000	   5.4204	   0.2534
1200000000.0000	   5.4181	   0.2493
1208000000.0000	   5.4165	   0.2446
1216000000.0000	   5.4191	   0.2444
1224000000.0000	   5.4141	   0.2523
1232000000.0000	   5.4123	   0.2510
1240000000.0000	   5.4075	   0.2496
1248000000.0000	   5.4161	   0.2514
1256000000.0000	   5.4123	   0.2573
1264000000.0000	   5.4148	   0.2567
1272000000.0000	   5.4122	   0.2572
1280000000.0000	   5.4084	   0.2564
1288000000.0000	   5.4042	   0.2517
1296000000.0000	   5.4014	   0.2568
1304000000.0000	   5.3950	   0.2525
1312000000.0000	   5.4009	   0.2515
1320000000.0000	   5.3993	   0.2544
1328000000.0000	   5.4013	   0.2579
1336000000.0000	   5.4035	   0.2578
1344000000.0000	   5.4088	   0.2613
1352000000.0000	   5.4118	   0.2666
1360000000.0000	   5.4021	   0.2599
1368000000.0000	   5.4078	   0.2596
1376000000.0000	   5.4078	   0.2593
1384000000.0000	   5.4079	   0.2550
1392000000.0000	   5.4071	   0.2583
1400000000.0000	   5.4027	   0.2558
1408000000.0000	   5.4011	   0.2488
1416000000.0000	   5.4034	   0.2534
1424000000.0000	   5.4162	   0.2585
1432000000.0000	   5.4134	   0.2572
1440000000.0000	   5.4107	   0.2575
1448000000.0000	   5.4289	   0.2584
1456000000.0000	   5.4235	   0.2552
1464000000.0000	   5.4260	   0.2612
1472000000.0000	   5.4205	   0.2534
1480000000.0000	   5.4274	   0.2483
1488000000.0000	   5.4303	   0.2501
1496000000.0000	   5.4323	   0.2500
1504000000.0000	   5.4316	   0.2542
1512000000.0000	   5.4305	   0.2450
1520000000.0000	   5.4328	   0.2507
1528000000.0000	   5.4263	   0.2490
1536000000.0000	   5.4270	   0.2469
1544000000.0000	   5.4309	   0.2501
1552000000.0000	   5.4320	   0.2463
1560000000.0000	   5.4337	   0.2462
1568000000.0000	   5.4308	   0.2518
1576000000.0000	   5.4256	   0.2455
1584000000.0000	   5.4228	   0.2466
1592000000.0000	   5.4179	   0.2454
1600000000.0000	   5.4244	   0.2440
1608000000.0000	   5.4257	   0.2479
1616000000.0000	   5.4232	   0.2449
1624000000.0000	   5.4256	   0.2442
1632000000.0000	   5.4257	   0.2452
1640000000.0000	   5.4221	   0.2406
1648000000.0000	   5.4273	   0.2433
1656000000.0000	   5.4218	   0.2400
1664000000.0000	   5.4202	   0.2364
1672000000.0000	   5.4234	   0.2316
1680000000.0000	   5.4221	   0.2342
1688000000.0000	   5.4172	   0.2303
1696000000.0000	   5.4169	   0.2319
1704000000.0000	   5.4171	   0.2290
1712000000.0000	   5.4227	   0.2262
1720000000.0000	   5.4300	   0.2214
1728000000.0000	   5.4311	   0.2229
1736000000.0000	   5.4325	   0.2259
1744000000.0000	   5.4359	   0.2170
1752000000.0000	   5.4345	   0.2199
1760000000.0000	   5.4405	   0.2181
1768000000.0000	   5.4410	   0.2188
1776000000.0000	   5.4424	   0.2163
1784000000.0000	   5.4395	   0.2197
1792000000.0000	   5.4438	   0.2206
1800000000.0000	   5.4479	   0.2149
1808000000.0000	   5.4518	   0.2245
1816000000.0000	   5.4588	   0.2306
1824000000.0000	   5.4591	   0.2273
1832000000.0000	   5.4630	   0.2309
1840000000.0000	   5.4608	   0.2254
1848000000.0000	   5.4657	   0.2196
1856000000.0000	   5.4641	   0.2175
1864000000.0000	   5.4596	   0.2223
1872000000.0000	   5.4587	   0.2151
1880000000.0000	   5.4564	   0.2195
1888000000.0000	   5.4571	   0.2211
1896000000.0000	   5.4549	   0.2204
1904000000.0000	   5.4520	   0.2196
1912000000.0000	   5.4535	   0.2144
1920000000.0000	   5.4558	   0.2118
1928000000.0000	   5.4537	   0.2119
1936000000.0000	   5.4533	   0.2059
1944000000.0000	   5.4489	   0.2029
1952000000.0000	   5.4443	   0.1956
1960000000.0000	   5.4354	   0.1908
1968000000.0000	   5.4391	   0.1850
1976000000.0000	   5.4386	   0.1797
1984000000.0000	   5.4478	   0.1781
1992000000.0000	   5.4502	   0.1759
2000000000.0000	   5.4567	   0.1722
2008000000.0000	   5.4705	   0.1635
2016000000.0000	   5.4804	   0.1602
2024000000.0000	   5.4895	   0.1568
2032000000.0000	   5.5044	   0.1536
2040000000.0000	   5.5152	   0.1502
2048000000.0000	   5.5240	   0.1552
2056000000.0000	   5.5268	   0.1616
2064000000.0000	   5.5356	   0.1701
2072000000.0000	   5.5386	   0.1779
2080000000.0000	   5.5445	   0.1869
2088000000.0000	   5.5466	   0.1977
2096000000.0000	   5.5598	   0.2055
2104000000.0000	   5.5620	   0.2138
2112000000.0000	   5.5660	   0.2176
2120000000.0000	   5.5646	   0.2238
2128000000.0000	   5.5638	   0.2290
2136000000.0000	   5.5625	   0.2309
2144000000.0000	   5.5505	   0.2367
2152000000.0000	   5.5387	   0.2369
2160000000.0000	   5.5389	   0.2389
2168000000.0000	   5.5349	   0.2470
2176000000.0000	   5.5288	   0.2484
2184000000.0000	   5.5196	   0.2489
2192000000.0000	   5.5065	   0.2447
2200000000.0000	   5.5027	   0.2500
2208000000.0000	   5.5029	   0.2426
2216000000.0000	   5.4986	   0.2462
2224000000.0000	   5.4909	   0.2398
2232000000.0000	   5.4835	   0.2374
2240000000.0000	   5.4813	   0.2321
2248000000.0000	   5.4796	   0.2277
2256000000.0000	   5.4732	   0.2294
2264000000.0000	   5.4671	   0.2272
2272000000.0000	   5.4695	   0.2225
2280000000.0000	   5.4699	   0.2158
2288000000.0000	   5.4725	   0.2067
2296000000.0000	   5.4768	   0.1970
2304000000.0000	   5.4799	   0.1963
2312000000.0000	   5.4877	   0.1802
2320000000.0000	   5.4969	   0.1778
2328000000.0000	   5.5064	   0.1731
2336000000.0000	   5.5168	   0.1674
2344000000.0000	   5.5241	   0.1703
2352000000.0000	   5.5396	   0.1723
