frequency	e'	e''
1000000000.0000	  32.9523	   0.8177
1008000000.0000	  32.8896	   0.8231
1016000000.0000	  32.9627	   0.8319
1024000000.0000	  33.0537	   0.8352
1032000000.0000	  32.9515	   0.8313
1040000000.0000	  32.7898	   0.8205
1048000000.0000	  32.6954	   0.8126
1056000000.0000	  32.9477	   0.8142
1064000000.0000	  33.2879	   0.8242
1072000000.0000	  33.6026	   0.8290
1080000000.0000	  33.7816	   0.8397
1088000000.0000	  33.8747	   0.8378
1096000000.0000	  33.9365	   0.8407
1104000000.0000	  33.9362	   0.8395
1112000000.0000	  33.8273	   0.8369
1120000000.0000	  33.7262	   0.8382
1128000000.0000	  33.6907	   0.8323
1136000000.0000	  33.7022	   0.8224
1144000000.0000	  33.7282	   0.8271
1152000000.0000	  33.7929	   0.8281
1160000000.0000	  33.8435	   0.8253
1168000000.0000	  33.9463	   0.8231
1176000000.0000	  34.0997	   0.8252
1184000000.0000	  34.2824	   0.8308
1192000000.0000	  34.4427	   0.8316
1200000000.0000	  34.5985	   0.8343
1208000000.0000	  34.7147	   0.8385
1216000000.0000	  34.7215	   0.8433
1224000000.0000	  34.7703	   0.8485
1232000000.0000	  34.9168	   0.8571
1240000000.0000	  35.0492	   0.8654
1248000000.0000	  35.1882	   0.8777
1256000000.0000	  35.2907	   0.8842
1264000000.0000	  35.4035	   0.8961
1272000000.0000	  35.4929	   0.9022
1280000000.0000	  35.5088	   0.9032
1288000000.0000	  35.5967	   0.9085
1296000000.0000	  35.6952	   0.9151
1304000000.0000	  35.7974	   0.9243
1312000000.0000	  35.9144	   0.9293
1320000000.0000	  36.0655	   0.9362
1328000000.0000	  36.1784	   0.9428
1336000000.0000	  36.2561	   0.9538
1344000000.0000	  36.3390	   0.9567
1352000000.0000	  36.4295	   0.9654
1360000000.0000	  36.4986	   0.9663
1368000000.0000	  36.5328	   0.9746
1376000000.0000	  36.5777	   0.9776
1384000000.0000	  36.6174	   0.9791
1392000000.0000	  36.6731	   0.9843
1400000000.0000	  36.7282	   0.9943
1408000000.0000	  36.7718	   0.9984
1416000000.0000	  36.8008	   1.0003
1424000000.0000	  36.8014	   1.0050
1432000000.0000	  36.8050	   1.0095
1440000000.0000	  36.8578	   1.0136
1448000000.0000	  36.9218	   1.0176
1456000000.0000	  36.9707	   1.0196
1464000000.0000	  36.9850	   1.0224
1472000000.0000	  36.9938	   1.0161
1480000000.0000	  36.9861	   1.0201
1488000000.0000	  36.9680	   1.0164
1496000000.0000	  37.0004	   1.0200
1504000000.0000	  37.0202	   1.0192
1512000000.0000	  37.1178	   1.0258
1520000000.0000	  37.2110	   1.0402
1528000000.0000	  37.2626	   1.0496
1536000000.0000	  37.3196	   1.0551
1544000000.0000	  37.3981	   1.0690
1552000000.0000	  37.5171	   1.0723
1560000000.0000	  37.6248	   1.0809
1568000000.0000	  37.7676	   1.0910
1576000000.0000	  37.9295	   1.1003
1584000000.0000	  38.0282	   1.1062
1592000000.0000	  38.0953	   1.1084
1600000000.0000	  38.1908	   1.1149
1608000000.0000	  38.2900	   1.1202
1616000000.0000	  38.3808	   1.1162
1624000000.0000	  38.4125	   1.1217
1632000000.0000	  38.4329	   1.1226
1640000000.0000	  38.4531	   1.1189
1648000000.0000	  38.4955	   1.1175
1656000000.0000	  38.5551	   1.1198
1664000000.0000	  38.6089	   1.1081
1672000000.0000	  38.6076	   1.1044
1680000000.0000	  38.5635	   1.1019
1688000000.0000	  38.5149	   1.0952
1696000000.0000	  38.4596	   1.0849
1704000000.0000	  38.4234	   1.0863
1712000000.0000	  38.3733	   1.0863
1720000000.0000	  38.3208	   1.0839
1728000000.0000	  38.3322	   1.0932
1736000000.0000	  38.2806	   1.1051
1744000000.0000	  38.2028	   1.1124
1752000000.0000	  38.1374	   1.1299
1760000000.0000	  38.1225	   1.1534
1768000000.0000	  38.1274	   1.1733
1776000000.0000	  38.0906	   1.1941
1784000000.0000	  38.0770	   1.2288
1792000000.0000	  38.0826	   1.2519
1800000000.0000	  38.0622	   1.2792
1808000000.0000	  38.0019	   1.2976
1816000000.0000	  37.9068	   1.3051
1824000000.0000	  37.8160	   1.2965
1832000000.0000	  37.8182	   1.2907
1840000000.0000	  37.9556	   1.2744
1848000000.0000	  38.1034	   1.2665
1856000000.0000	  38.1960	   1.2508
1864000000.0000	  38.2830	   1.2407
1872000000.0000	  38.4272	   1.2236
1880000000.0000	  38.5873	   1.2090
1888000000.0000	  38.7079	   1.1919
1896000000.0000	  38.8086	   1.1691
1904000000.0000	  38.8889	   1.1518
1912000000.0000	  38.9569	   1.1316
1920000000.0000	  39.0140	   1.1067
1928000000.0000	  39.0533	   1.0840
1936000000.0000	  39.0787	   1.0533
1944000000.0000	  39.1205	   1.0164
1952000000.0000	  39.1676	   0.9761
1960000000.0000	  39.2150	   0.9288
1968000000.0000	  39.2749	   0.8794
1976000000.0000	  39.2890	   0.8362
1984000000.0000	  39.2874	   0.7828
1992000000.0000	  39.3130	   0.7373
2000000000.0000	  39.4094	   0.6838
2008000000.0000	  39.4837	   0.6362
2016000000.0000	  39.5440	   0.6100
2024000000.0000	  39.5948	   0.5857
2032000000.0000	  39.6538	   0.5765
2040000000.0000	  39.7232	   0.5806
2048000000.0000	  39.8291	   0.6122
2056000000.0000	  39.9254	   0.6564
2064000000.0000	  40.0426	   0.7143
2072000000.0000	  40.1646	   0.7773
2080000000.0000	  40.2525	   0.8529
2088000000.0000	  40.3450	   0.9259
2096000000.0000	  40.4116	   0.9938
2104000000.0000	  40.4878	   1.0604
2112000000.0000	  40.5972	   1.1252
2120000000.0000	  40.6895	   1.1817
2128000000.0000	  40.7180	   1.2326
2136000000.0000	  40.7305	   1.2778
2144000000.0000	  40.7892	   1.3131
2152000000.0000	  40.8927	   1.3482
2160000000.0000	  40.9873	   1.3734
2168000000.0000	  41.0530	   1.3961
2176000000.0000	  41.1114	   1.4121
2184000000.0000	  41.1803	   1.4248
2192000000.0000	  41.2638	   1.4360
2200000000.0000	  41.3797	   1.4386
2208000000.0000	  41.4913	   1.4332
2216000000.0000	  41.5528	   1.4264
2224000000.0000	  41.5695	   1.4160
2232000000.0000	  41.6085	   1.4056
2240000000.0000	  41.6854	   1.3889
2248000000.0000	  41.7655	   1.3622
2256000000.0000	  41.8007	   1.3310
