frequency	e'	e''
1000000000.0000	  29.6172	   0.4332
1008000000.0000	  29.5761	   0.4377
1016000000.0000	  29.4930	   0.4470
1024000000.0000	  29.3503	   0.4577
1032000000.0000	  29.2400	   0.4612
1040000000.0000	  29.1710	   0.4612
1048000000.0000	  29.1053	   0.4647
1056000000.0000	  28.8931	   0.4803
1064000000.0000	  28.7486	   0.4893
1072000000.0000	  28.6071	   0.4931
1080000000.0000	  28.4352	   0.4987
1088000000.0000	  28.2364	   0.5053
1096000000.0000	  27.7138	   0.5016
1104000000.0000	  27.3386	   0.4943
1112000000.0000	  27.3171	   0.4928
1120000000.0000	  27.0029	   0.4885
1128000000.0000	  26.7811	   0.4863
1136000000.0000	  26.3811	   0.4829
1144000000.0000	  25.8843	   0.4772
1152000000.0000	  25.7239	   0.4716
1160000000.0000	  25.4428	   0.4763
1168000000.0000	  24.9822	   0.4704
1176000000.0000	  24.8694	   0.4734
1184000000.0000	  24.8490	   0.4705
1192000000.0000	  24.7220	   0.4694
1200000000.0000	  24.5763	   0.4691
1208000000.0000	  24.5084	   0.4684
1216000000.0000	  24.4618	   0.4670
1224000000.0000	  24.4028	   0.4736
1232000000.0000	  24.2959	   0.4695
1240000000.0000	  24.1816	   0.4743
1248000000.0000	  24.0991	   0.4751
1256000000.0000	  23.9907	   0.4834
1264000000.0000	  23.9249	   0.4819
1272000000.0000	  23.8661	   0.4783
1280000000.0000	  23.7997	   0.4793
1288000000.0000	  23.7439	   0.4771
1296000000.0000	  23.6790	   0.4827
1304000000.0000	  23.5830	   0.4861
1312000000.0000	  23.5188	   0.4857
1320000000.0000	  23.4848	   0.4898
1328000000.0000	  23.4899	   0.4987
1336000000.0000	  23.4666	   0.5009
1344000000.0000	  23.4402	   0.5018
1352000000.0000	  23.4121	   0.5081
1360000000.0000	  23.3827	   0.5100
1368000000.0000	  23.3563	   0.5098
1376000000.0000	  23.3097	   0.5080
1384000000.0000	  23.2334	   0.5097
1392000000.0000	  23.1752	   0.5125
1400000000.0000	  23.1088	   0.5173
1408000000.0000	  23.0805	   0.5194
1416000000.0000	  23.0674	   0.5216
1424000000.0000	  23.0333	   0.5286
1432000000.0000	  23.0258	   0.5288
1440000000.0000	  22.9617	   0.5304
1448000000.0000	  22.9070	   0.5311
1456000000.0000	  22.9063	   0.5368
1464000000.0000	  22.9335	   0.5425
1472000000.0000	  22.9604	   0.5391
1480000000.0000	  23.0066	   0.5437
