frequency	e'	e''
1000000000.0000	   2.1615	   0.0360
1008000000.0000	   2.1681	   0.0352
1016000000.0000	   2.1668	   0.0359
1024000000.0000	   2.1714	   0.0386
1032000000.0000	   2.1689	   0.0404
1040000000.0000	   2.1673	   0.0335
1048000000.0000	   2.1737	   0.0350
1056000000.0000	   2.1707	   0.0416
1064000000.0000	   2.1676	   0.0430
1072000000.0000	   2.1690	   0.0333
1080000000.0000	   2.1748	   0.0413
1088000000.0000	   2.1682	   0.0429
1096000000.0000	   2.1693	   0.0434
1104000000.0000	   2.1735	   0.0411
1112000000.0000	   2.1624	   0.0354
1120000000.0000	   2.1632	   0.0379
1128000000.0000	   2.1574	   0.0409
1136000000.0000	   2.1541	   0.0382
1144000000.0000	   2.1455	   0.0411
1152000000.0000	   2.1478	   0.0436
1160000000.0000	   2.1399	   0.0429
1168000000.0000	   2.1461	   0.0402
1176000000.0000	   2.1451	   0.0435
1184000000.0000	   2.1446	   0.0403
1192000000.0000	   2.1473	   0.0382
1200000000.0000	   2.1436	   0.0362
1208000000.0000	   2.1418	   0.0411
1216000000.0000	   2.1433	   0.0359
1224000000.0000	   2.1413	   0.0368
1232000000.0000	   2.1447	   0.0407
1240000000.0000	   2.1394	   0.0424
1248000000.0000	   2.1471	   0.0453
1256000000.0000	   2.1500	   0.0481
1264000000.0000	   2.1501	   0.0463
1272000000.0000	   2.1576	   0.0471
1280000000.0000	   2.1561	   0.0476
1288000000.0000	   2.1568	   0.0431
1296000000.0000	   2.1544	   0.0453
1304000000.0000	   2.1564	   0.0467
1312000000.0000	   2.1610	   0.0463
1320000000.0000	   2.1572	   0.0433
1328000000.0000	   2.1619	   0.0448
1336000000.0000	   2.1630	   0.0451
1344000000.0000	   2.1679	   0.0516
1352000000.0000	   2.1637	   0.0581
1360000000.0000	   2.1602	   0.0490
1368000000.0000	   2.1624	   0.0503
1376000000.0000	   2.1659	   0.0455
1384000000.0000	   2.1668	   0.0426
1392000000.0000	   2.1614	   0.0467
1400000000.0000	   2.1608	   0.0432
1408000000.0000	   2.1567	   0.0402
1416000000.0000	   2.1591	   0.0491
1424000000.0000	   2.1575	   0.0532
1432000000.0000	   2.1573	   0.0492
1440000000.0000	   2.1599	   0.0518
1448000000.0000	   2.1593	   0.0495
1456000000.0000	   2.1623	   0.0514
1464000000.0000	   2.1677	   0.0556
1472000000.0000	   2.1604	   0.0482
1480000000.0000	   2.1680	   0.0476
1488000000.0000	   2.1721	   0.0467
1496000000.0000	   2.1696	   0.0462
1504000000.0000	   2.1703	   0.0496
