frequency	e'	e''
1000000000.0000	  56.6470	   1.0564
1008000000.0000	  56.5999	   1.0524
1016000000.0000	  56.5746	   1.0609
1024000000.0000	  56.6959	   1.0688
1032000000.0000	  56.8257	   1.0743
1040000000.0000	  56.9987	   1.0867
1048000000.0000	  57.2651	   1.0875
1056000000.0000	  57.4780	   1.0916
1064000000.0000	  57.6238	   1.1062
1072000000.0000	  57.7255	   1.1164
1080000000.0000	  57.8012	   1.1222
1088000000.0000	  57.8677	   1.1288
1096000000.0000	  57.9175	   1.1396
1104000000.0000	  57.9556	   1.1478
1112000000.0000	  57.9994	   1.1478
1120000000.0000	  58.0497	   1.1605
1128000000.0000	  58.0875	   1.1590
1136000000.0000	  58.0776	   1.1659
1144000000.0000	  58.0445	   1.1768
1152000000.0000	  58.0234	   1.1895
1160000000.0000	  58.0442	   1.1932
1168000000.0000	  58.1096	   1.2080
1176000000.0000	  58.1690	   1.2157
1184000000.0000	  58.2052	   1.2210
1192000000.0000	  58.2092	   1.2296
1200000000.0000	  58.2207	   1.2417
1208000000.0000	  58.2345	   1.2455
1216000000.0000	  58.2564	   1.2560
1224000000.0000	  58.2740	   1.2737
1232000000.0000	  58.2569	   1.2908
1240000000.0000	  58.2077	   1.3009
1248000000.0000	  58.1602	   1.3138
1256000000.0000	  58.1415	   1.3247
1264000000.0000	  58.1087	   1.3484
1272000000.0000	  58.0899	   1.3693
1280000000.0000	  58.1001	   1.3908
1288000000.0000	  58.1468	   1.4187
1296000000.0000	  58.2196	   1.4546
1304000000.0000	  58.2920	   1.5082
1312000000.0000	  58.3475	   1.5667
1320000000.0000	  58.3967	   1.6368
1328000000.0000	  58.4364	   1.7207
1336000000.0000	  58.4425	   1.8310
1344000000.0000	  58.4256	   1.9385
1352000000.0000	  58.3798	   2.0358
1360000000.0000	  58.3044	   2.1098
1368000000.0000	  58.2251	   2.1539
1376000000.0000	  58.1633	   2.1664
1384000000.0000	  58.0989	   2.1581
1392000000.0000	  58.0537	   2.1536
1400000000.0000	  57.9986	   2.1456
1408000000.0000	  57.9365	   2.1240
1416000000.0000	  57.8765	   2.0925
1424000000.0000	  57.8136	   2.0338
1432000000.0000	  57.7587	   1.9621
1440000000.0000	  57.7238	   1.8858
1448000000.0000	  57.7431	   1.8025
1456000000.0000	  57.7672	   1.7385
1464000000.0000	  57.8260	   1.6716
1472000000.0000	  57.9065	   1.6189
1480000000.0000	  57.9563	   1.5817
1488000000.0000	  57.9939	   1.5465
1496000000.0000	  58.0648	   1.5202
1504000000.0000	  58.2056	   1.4943
1512000000.0000	  58.2296	   1.4820
1520000000.0000	  58.2409	   1.4910
1528000000.0000	  58.2087	   1.4940
1536000000.0000	  58.2118	   1.4989
1544000000.0000	  58.2002	   1.5040
1552000000.0000	  58.1636	   1.4976
1560000000.0000	  58.0920	   1.5018
1568000000.0000	  57.9651	   1.5002
1576000000.0000	  57.8152	   1.4998
1584000000.0000	  57.6262	   1.4950
1592000000.0000	  57.3863	   1.4858
1600000000.0000	  57.1026	   1.4778
1608000000.0000	  56.7524	   1.4629
1616000000.0000	  56.3746	   1.4487
1624000000.0000	  55.9962	   1.4316
1632000000.0000	  55.7287	   1.4189
1640000000.0000	  55.6195	   1.4102
1648000000.0000	  55.6038	   1.4055
1656000000.0000	  55.6461	   1.3970
1664000000.0000	  55.7381	   1.3845
1672000000.0000	  55.8774	   1.3764
1680000000.0000	  56.0681	   1.3768
1688000000.0000	  56.2824	   1.3668
1696000000.0000	  56.4916	   1.3614
1704000000.0000	  56.7029	   1.3494
1712000000.0000	  56.9068	   1.3478
1720000000.0000	  57.0863	   1.3466
1728000000.0000	  57.2596	   1.3442
1736000000.0000	  57.4056	   1.3540
1744000000.0000	  57.5266	   1.3494
1752000000.0000	  57.6431	   1.3562
1760000000.0000	  57.7438	   1.3589
1768000000.0000	  57.8418	   1.3603
1776000000.0000	  57.9508	   1.3647
1784000000.0000	  58.0498	   1.3833
1792000000.0000	  58.1510	   1.3942
1800000000.0000	  58.2552	   1.4279
1808000000.0000	  58.3444	   1.4590
1816000000.0000	  58.4160	   1.4838
1824000000.0000	  58.4723	   1.5072
1832000000.0000	  58.5217	   1.5375
1840000000.0000	  58.5883	   1.5580
1848000000.0000	  58.6600	   1.5870
1856000000.0000	  58.7350	   1.6243
1864000000.0000	  58.8059	   1.6572
1872000000.0000	  58.8542	   1.6999
1880000000.0000	  58.9000	   1.7372
1888000000.0000	  58.9443	   1.7868
1896000000.0000	  58.9837	   1.8355
1904000000.0000	  58.9992	   1.9025
1912000000.0000	  58.9779	   1.9651
1920000000.0000	  58.9282	   2.0203
1928000000.0000	  58.8326	   2.0652
1936000000.0000	  58.7012	   2.0763
1944000000.0000	  58.5480	   2.0545
1952000000.0000	  58.4044	   2.0060
1960000000.0000	  58.2635	   1.9395
1968000000.0000	  58.1501	   1.8631
1976000000.0000	  58.0467	   1.7832
1984000000.0000	  57.9685	   1.6850
1992000000.0000	  57.9266	   1.5960
2000000000.0000	  57.9347	   1.4957
2008000000.0000	  58.0058	   1.4137
2016000000.0000	  58.0879	   1.3619
2024000000.0000	  58.1705	   1.3161
2032000000.0000	  58.2859	   1.3073
2040000000.0000	  58.4065	   1.3202
2048000000.0000	  58.5414	   1.3748
2056000000.0000	  58.6697	   1.4507
2064000000.0000	  58.7774	   1.5461
2072000000.0000	  58.8788	   1.6524
2080000000.0000	  58.9689	   1.7776
2088000000.0000	  59.0150	   1.8963
2096000000.0000	  59.0442	   1.9935
2104000000.0000	  59.0580	   2.0953
2112000000.0000	  59.0577	   2.1755
2120000000.0000	  59.0442	   2.2503
2128000000.0000	  59.0078	   2.2965
2136000000.0000	  58.9763	   2.3326
2144000000.0000	  58.9373	   2.3376
2152000000.0000	  58.9085	   2.3324
2160000000.0000	  58.8855	   2.3170
2168000000.0000	  58.8649	   2.2861
2176000000.0000	  58.8420	   2.2518
2184000000.0000	  58.8084	   2.2079
2192000000.0000	  58.7810	   2.1695
2200000000.0000	  58.7469	   2.1270
2208000000.0000	  58.7259	   2.0888
2216000000.0000	  58.7143	   2.0560
2224000000.0000	  58.6987	   2.0215
2232000000.0000	  58.6805	   1.9873
2240000000.0000	  58.6311	   1.9476
2248000000.0000	  58.5870	   1.8938
2256000000.0000	  58.5597	   1.8478
2264000000.0000	  58.5461	   1.7914
2272000000.0000	  58.5190	   1.7223
