frequency	e'	e''
1000000000.0000	  56.5956	   1.1460
1008000000.0000	  56.4444	   1.1397
1016000000.0000	  56.2273	   1.1303
1024000000.0000	  55.9687	   1.1275
1032000000.0000	  55.7695	   1.1195
1040000000.0000	  55.6310	   1.1152
1048000000.0000	  55.6022	   1.1146
1056000000.0000	  55.6072	   1.1124
1064000000.0000	  55.5768	   1.1150
1072000000.0000	  55.6112	   1.1232
1080000000.0000	  55.6818	   1.1307
1088000000.0000	  55.7182	   1.1339
1096000000.0000	  55.7154	   1.1437
1104000000.0000	  55.6999	   1.1494
1112000000.0000	  55.6983	   1.1370
1120000000.0000	  55.7842	   1.1490
1128000000.0000	  55.9691	   1.1479
1136000000.0000	  56.1680	   1.1584
1144000000.0000	  56.3258	   1.1664
1152000000.0000	  56.4563	   1.1798
1160000000.0000	  56.5731	   1.1815
1168000000.0000	  56.6647	   1.1882
1176000000.0000	  56.7188	   1.1901
1184000000.0000	  56.7383	   1.1933
1192000000.0000	  56.7454	   1.1942
1200000000.0000	  56.7645	   1.1985
1208000000.0000	  56.8070	   1.1966
1216000000.0000	  56.8654	   1.2034
1224000000.0000	  56.9348	   1.2177
1232000000.0000	  57.0038	   1.2322
1240000000.0000	  57.0627	   1.2464
1248000000.0000	  57.1055	   1.2573
1256000000.0000	  57.1302	   1.2674
1264000000.0000	  57.1025	   1.2773
1272000000.0000	  57.0053	   1.2789
1280000000.0000	  56.9089	   1.2862
1288000000.0000	  56.8068	   1.2934
1296000000.0000	  56.6896	   1.2880
1304000000.0000	  56.5772	   1.2985
1312000000.0000	  56.4920	   1.3038
1320000000.0000	  56.4803	   1.3144
1328000000.0000	  56.4749	   1.3142
1336000000.0000	  56.4717	   1.3220
1344000000.0000	  56.4571	   1.3311
1352000000.0000	  56.4529	   1.3363
1360000000.0000	  56.3817	   1.3398
1368000000.0000	  56.2476	   1.3463
1376000000.0000	  56.0004	   1.3429
1384000000.0000	  55.8794	   1.3520
1392000000.0000	  55.8663	   1.3557
1400000000.0000	  55.7773	   1.3726
1408000000.0000	  55.7288	   1.3783
1416000000.0000	  55.6754	   1.3781
1424000000.0000	  55.5187	   1.3885
1432000000.0000	  55.3477	   1.3921
1440000000.0000	  55.2345	   1.4018
1448000000.0000	  55.1863	   1.4093
1456000000.0000	  55.1728	   1.4247
1464000000.0000	  55.2153	   1.4350
1472000000.0000	  55.3318	   1.4446
1480000000.0000	  55.5172	   1.4706
1488000000.0000	  55.7624	   1.4879
1496000000.0000	  56.0715	   1.5137
1504000000.0000	  56.6566	   1.5448
1512000000.0000	  56.9143	   1.5841
1520000000.0000	  57.1520	   1.6372
1528000000.0000	  57.2502	   1.6836
1536000000.0000	  57.3018	   1.7369
1544000000.0000	  57.2938	   1.7937
1552000000.0000	  57.2588	   1.8587
1560000000.0000	  57.1970	   1.9414
1568000000.0000	  57.1118	   2.0439
1576000000.0000	  57.0052	   2.1685
1584000000.0000	  56.8315	   2.3193
1592000000.0000	  56.5899	   2.4609
1600000000.0000	  56.2261	   2.5660
1608000000.0000	  55.7762	   2.5516
1616000000.0000	  55.3062	   2.4145
1624000000.0000	  54.9027	   2.2172
1632000000.0000	  54.6365	   2.0312
1640000000.0000	  54.4583	   1.8791
1648000000.0000	  54.3468	   1.7753
1656000000.0000	  54.3173	   1.7056
1664000000.0000	  54.3905	   1.6630
1672000000.0000	  54.5529	   1.6479
1680000000.0000	  54.7760	   1.6410
1688000000.0000	  54.9611	   1.6301
