frequency	e'	e''
1000000000.0000	  75.8813	   5.1081
1008000000.0000	  75.5569	   4.9932
1016000000.0000	  75.3051	   4.7867
1024000000.0000	  75.1730	   4.4877
1032000000.0000	  75.1849	   4.1948
1040000000.0000	  75.2945	   3.9499
1048000000.0000	  75.4987	   3.7986
1056000000.0000	  75.6971	   3.7787
1064000000.0000	  75.8265	   3.8313
1072000000.0000	  75.8944	   3.8979
1080000000.0000	  75.9349	   3.9544
1088000000.0000	  75.9466	   3.9976
1096000000.0000	  75.9648	   4.0340
1104000000.0000	  75.9743	   4.0675
1112000000.0000	  75.9797	   4.1110
1120000000.0000	  75.9701	   4.1316
1128000000.0000	  75.9670	   4.1633
1136000000.0000	  75.9625	   4.1896
1144000000.0000	  75.9663	   4.2185
1152000000.0000	  75.9698	   4.2351
1160000000.0000	  75.9596	   4.2811
1168000000.0000	  75.9500	   4.3183
1176000000.0000	  75.9415	   4.3518
1184000000.0000	  75.9123	   4.3872
1192000000.0000	  75.8696	   4.4241
1200000000.0000	  75.8331	   4.4407
1208000000.0000	  75.7628	   4.4620
1216000000.0000	  75.7080	   4.4544
1224000000.0000	  75.6425	   4.4043
1232000000.0000	  75.6217	   4.3486
1240000000.0000	  75.6171	   4.2930
1248000000.0000	  75.6465	   4.2314
1256000000.0000	  75.7020	   4.1729
1264000000.0000	  75.7813	   4.1613
1272000000.0000	  75.8508	   4.1809
1280000000.0000	  75.9095	   4.2346
1288000000.0000	  75.9396	   4.2821
1296000000.0000	  75.9613	   4.3514
1304000000.0000	  75.9606	   4.4146
1312000000.0000	  75.9559	   4.4793
1320000000.0000	  75.9409	   4.5310
1328000000.0000	  75.9119	   4.5876
1336000000.0000	  75.8852	   4.6300
1344000000.0000	  75.8471	   4.6916
1352000000.0000	  75.7964	   4.7266
1360000000.0000	  75.7369	   4.7737
1368000000.0000	  75.6554	   4.7854
1376000000.0000	  75.5691	   4.7876
1384000000.0000	  75.4864	   4.7625
1392000000.0000	  75.4069	   4.6970
1400000000.0000	  75.3349	   4.6214
1408000000.0000	  75.2823	   4.5124
1416000000.0000	  75.2654	   4.3827
1424000000.0000	  75.2745	   4.2271
1432000000.0000	  75.3442	   4.0586
1440000000.0000	  75.4593	   3.9016
1448000000.0000	  75.6472	   3.7579
1456000000.0000	  75.8725	   3.6717
1464000000.0000	  76.1337	   3.6634
1472000000.0000	  76.3706	   3.7389
1480000000.0000	  76.5688	   3.8680
1488000000.0000	  76.6936	   4.0221
1496000000.0000	  76.7866	   4.1743
1504000000.0000	  76.8274	   4.2924
1512000000.0000	  76.8433	   4.4122
1520000000.0000	  76.8490	   4.5116
1528000000.0000	  76.8402	   4.5997
1536000000.0000	  76.8261	   4.6748
1544000000.0000	  76.8066	   4.7491
1552000000.0000	  76.7857	   4.8001
1560000000.0000	  76.7634	   4.8604
1568000000.0000	  76.7392	   4.9003
1576000000.0000	  76.7293	   4.9341
1584000000.0000	  76.7129	   4.9813
1592000000.0000	  76.6949	   5.0151
1600000000.0000	  76.6955	   5.0487
1608000000.0000	  76.6873	   5.0843
1616000000.0000	  76.6845	   5.1248
1624000000.0000	  76.6867	   5.1587
1632000000.0000	  76.6771	   5.1985
1640000000.0000	  76.6791	   5.2376
1648000000.0000	  76.6734	   5.2791
1656000000.0000	  76.6663	   5.3141
1664000000.0000	  76.6619	   5.3607
1672000000.0000	  76.6548	   5.4035
1680000000.0000	  76.6491	   5.4476
1688000000.0000	  76.6581	   5.4866
1696000000.0000	  76.6572	   5.5305
1704000000.0000	  76.6523	   5.5941
1712000000.0000	  76.6428	   5.6458
1720000000.0000	  76.6325	   5.6925
1728000000.0000	  76.6185	   5.7456
1736000000.0000	  76.5979	   5.8011
1744000000.0000	  76.5802	   5.8444
1752000000.0000	  76.5588	   5.8779
1760000000.0000	  76.5409	   5.9249
1768000000.0000	  76.5099	   5.9616
1776000000.0000	  76.4840	   5.9934
1784000000.0000	  76.4683	   6.0289
1792000000.0000	  76.4473	   6.0551
1800000000.0000	  76.4414	   6.0895
1808000000.0000	  76.4241	   6.1207
1816000000.0000	  76.4182	   6.1500
1824000000.0000	  76.4187	   6.1839
1832000000.0000	  76.4156	   6.2066
1840000000.0000	  76.4190	   6.2357
1848000000.0000	  76.4249	   6.2664
1856000000.0000	  76.4325	   6.3014
1864000000.0000	  76.4320	   6.3306
1872000000.0000	  76.4470	   6.3639
1880000000.0000	  76.4505	   6.4018
1888000000.0000	  76.4663	   6.4322
1896000000.0000	  76.4756	   6.4712
1904000000.0000	  76.4884	   6.4994
1912000000.0000	  76.5018	   6.5392
1920000000.0000	  76.5107	   6.5783
1928000000.0000	  76.5223	   6.6191
1936000000.0000	  76.5306	   6.6594
1944000000.0000	  76.5397	   6.7048
1952000000.0000	  76.5379	   6.7674
1960000000.0000	  76.5357	   6.8277
1968000000.0000	  76.5261	   6.8793
1976000000.0000	  76.5073	   6.9427
1984000000.0000	  76.4868	   7.0004
1992000000.0000	  76.4602	   7.0644
2000000000.0000	  76.4310	   7.1060
2008000000.0000	  76.4022	   7.1716
2016000000.0000	  76.3668	   7.2248
2024000000.0000	  76.3213	   7.2697
2032000000.0000	  76.2800	   7.3124
2040000000.0000	  76.2362	   7.3767
2048000000.0000	  76.1790	   7.4173
2056000000.0000	  76.1313	   7.4613
2064000000.0000	  76.0815	   7.5092
2072000000.0000	  76.0179	   7.5585
2080000000.0000	  75.9533	   7.6015
2088000000.0000	  75.8888	   7.6412
2096000000.0000	  75.8156	   7.6702
2104000000.0000	  75.7476	   7.7006
2112000000.0000	  75.6800	   7.7234
2120000000.0000	  75.6059	   7.7439
2128000000.0000	  75.5337	   7.7473
2136000000.0000	  75.4562	   7.7440
2144000000.0000	  75.3931	   7.7376
2152000000.0000	  75.3373	   7.7275
2160000000.0000	  75.2858	   7.7106
2168000000.0000	  75.2430	   7.6984
2176000000.0000	  75.2024	   7.6901
2184000000.0000	  75.1619	   7.6813
2192000000.0000	  75.1329	   7.6766
2200000000.0000	  75.0977	   7.6592
2208000000.0000	  75.0736	   7.6592
2216000000.0000	  75.0372	   7.6544
2224000000.0000	  75.0047	   7.6440
2232000000.0000	  74.9711	   7.6398
2240000000.0000	  74.9376	   7.6337
2248000000.0000	  74.9057	   7.6266
2256000000.0000	  74.8741	   7.6050
2264000000.0000	  74.8499	   7.5843
2272000000.0000	  74.8247	   7.5627
2280000000.0000	  74.8120	   7.5384
2288000000.0000	  74.7975	   7.4987
2296000000.0000	  74.8035	   7.4653
2304000000.0000	  74.7944	   7.4313
2312000000.0000	  74.8113	   7.3863
2320000000.0000	  74.8206	   7.3506
2328000000.0000	  74.8403	   7.3130
2336000000.0000	  74.8711	   7.2759
2344000000.0000	  74.9147	   7.2416
2352000000.0000	  74.9630	   7.2140
2360000000.0000	  75.0142	   7.1953
2368000000.0000	  75.0638	   7.1752
2376000000.0000	  75.1185	   7.1655
2384000000.0000	  75.1481	   7.1601
2392000000.0000	  75.1937	   7.1692
2400000000.0000	  75.2226	   7.1695
2408000000.0000	  75.2557	   7.1741
2416000000.0000	  75.2791	   7.1856
2424000000.0000	  75.2976	   7.1936
2432000000.0000	  75.3159	   7.2158
2440000000.0000	  75.3331	   7.2290
2448000000.0000	  75.3499	   7.2481
2456000000.0000	  75.3627	   7.2639
2464000000.0000	  75.3720	   7.2806
2472000000.0000	  75.3744	   7.3018
2480000000.0000	  75.3774	   7.3243
2488000000.0000	  75.3799	   7.3305
2496000000.0000	  75.3821	   7.3484
2504000000.0000	  75.3744	   7.3612
2512000000.0000	  75.3787	   7.3749
2520000000.0000	  75.3789	   7.3826
2528000000.0000	  75.3866	   7.3917
2536000000.0000	  75.3962	   7.3997
2544000000.0000	  75.4130	   7.4258
2552000000.0000	  75.4360	   7.4407
2560000000.0000	  75.4669	   7.4558
2568000000.0000	  75.4957	   7.4810
2576000000.0000	  75.5370	   7.5113
2584000000.0000	  75.5761	   7.5380
2592000000.0000	  75.6166	   7.5803
2600000000.0000	  75.6619	   7.6272
2608000000.0000	  75.7032	   7.6761
2616000000.0000	  75.7363	   7.7342
2624000000.0000	  75.7690	   7.7919
2632000000.0000	  75.7851	   7.8607
2640000000.0000	  75.8041	   7.9339
2648000000.0000	  75.8145	   7.9965
