frequency	e'	e''
1000000000.0000	  37.2520	   1.5248
1008000000.0000	  37.3407	   1.5432
1016000000.0000	  37.4501	   1.5602
1024000000.0000	  37.5377	   1.5850
1032000000.0000	  37.6253	   1.6000
1040000000.0000	  37.7417	   1.6120
1048000000.0000	  37.8973	   1.6294
1056000000.0000	  37.9800	   1.6374
1064000000.0000	  38.0627	   1.6409
1072000000.0000	  38.1485	   1.6524
1080000000.0000	  38.2336	   1.6567
1088000000.0000	  38.3069	   1.6725
1096000000.0000	  38.3692	   1.6847
1104000000.0000	  38.4456	   1.6937
1112000000.0000	  38.4911	   1.7044
1120000000.0000	  38.5387	   1.7184
1128000000.0000	  38.5838	   1.7208
1136000000.0000	  38.6199	   1.7343
1144000000.0000	  38.6532	   1.7493
1152000000.0000	  38.6840	   1.7614
1160000000.0000	  38.7331	   1.7784
1168000000.0000	  38.7685	   1.7958
1176000000.0000	  38.8056	   1.8144
1184000000.0000	  38.8884	   1.8350
1192000000.0000	  38.9438	   1.8528
1200000000.0000	  38.9992	   1.8773
1208000000.0000	  39.0609	   1.8930
1216000000.0000	  39.1114	   1.9145
1224000000.0000	  39.1510	   1.9308
1232000000.0000	  39.2034	   1.9541
1240000000.0000	  39.2542	   1.9752
1248000000.0000	  39.3208	   1.9943
1256000000.0000	  39.3614	   2.0132
1264000000.0000	  39.3842	   2.0274
1272000000.0000	  39.4301	   2.0409
1280000000.0000	  39.4766	   2.0697
1288000000.0000	  39.5308	   2.0881
1296000000.0000	  39.5804	   2.1038
1304000000.0000	  39.6264	   2.1219
1312000000.0000	  39.6461	   2.1386
1320000000.0000	  39.6712	   2.1509
1328000000.0000	  39.7104	   2.1632
1336000000.0000	  39.7442	   2.1744
1344000000.0000	  39.7718	   2.1893
1352000000.0000	  39.8079	   2.2073
1360000000.0000	  39.8498	   2.2210
1368000000.0000	  39.8936	   2.2400
1376000000.0000	  39.9325	   2.2546
1384000000.0000	  39.9692	   2.2687
1392000000.0000	  40.0107	   2.2911
