frequency	e'	e''
1000000000.0000	  23.6923	   0.8884
1008000000.0000	  23.7113	   0.8998
1016000000.0000	  23.7118	   0.8966
1024000000.0000	  23.7004	   0.9116
1032000000.0000	  23.6823	   0.9138
1040000000.0000	  23.6444	   0.9148
1048000000.0000	  23.6129	   0.9178
1056000000.0000	  23.5932	   0.9245
1064000000.0000	  23.5871	   0.9195
1072000000.0000	  23.5944	   0.9358
1080000000.0000	  23.6400	   0.9423
1088000000.0000	  23.7007	   0.9519
1096000000.0000	  23.7135	   0.9567
1104000000.0000	  23.7035	   0.9700
1112000000.0000	  23.6788	   0.9683
1120000000.0000	  23.6522	   0.9786
1128000000.0000	  23.6185	   0.9778
1136000000.0000	  23.6014	   0.9849
1144000000.0000	  23.6062	   0.9960
1152000000.0000	  23.6260	   1.0048
1160000000.0000	  23.6503	   1.0181
1168000000.0000	  23.6950	   1.0283
1176000000.0000	  23.7497	   1.0474
1184000000.0000	  23.7882	   1.0588
1192000000.0000	  23.7948	   1.0653
1200000000.0000	  23.7828	   1.0762
1208000000.0000	  23.7806	   1.0777
1216000000.0000	  23.7456	   1.0875
1224000000.0000	  23.7190	   1.0987
1232000000.0000	  23.7338	   1.1088
1240000000.0000	  23.7657	   1.1188
1248000000.0000	  23.7864	   1.1318
1256000000.0000	  23.8155	   1.1436
1264000000.0000	  23.8423	   1.1578
1272000000.0000	  23.8438	   1.1607
1280000000.0000	  23.8197	   1.1679
1288000000.0000	  23.7831	   1.1751
1296000000.0000	  23.7425	   1.1800
1304000000.0000	  23.7014	   1.1915
1312000000.0000	  23.6593	   1.1933
1320000000.0000	  23.6505	   1.1979
1328000000.0000	  23.6529	   1.2049
1336000000.0000	  23.6657	   1.2120
1344000000.0000	  23.7118	   1.2180
1352000000.0000	  23.7692	   1.2341
1360000000.0000	  23.8124	   1.2398
1368000000.0000	  23.8196	   1.2515
1376000000.0000	  23.8130	   1.2586
1384000000.0000	  23.8122	   1.2627
1392000000.0000	  23.8033	   1.2698
1400000000.0000	  23.7971	   1.2759
1408000000.0000	  23.8217	   1.2859
1416000000.0000	  23.8557	   1.2994
1424000000.0000	  23.8889	   1.3094
1432000000.0000	  23.9467	   1.3246
1440000000.0000	  24.0124	   1.3386
1448000000.0000	  24.0528	   1.3551
1456000000.0000	  24.0621	   1.3726
1464000000.0000	  24.0474	   1.3871
1472000000.0000	  24.0159	   1.3893
1480000000.0000	  23.9547	   1.3974
1488000000.0000	  23.9010	   1.4014
1496000000.0000	  23.8734	   1.4145
1504000000.0000	  23.8582	   1.4241
1512000000.0000	  23.8739	   1.4312
1520000000.0000	  23.8883	   1.4394
1528000000.0000	  23.8683	   1.4516
1536000000.0000	  23.8437	   1.4560
1544000000.0000	  23.8413	   1.4613
1552000000.0000	  23.8323	   1.4672
1560000000.0000	  23.8220	   1.4784
1568000000.0000	  23.8173	   1.4825
1576000000.0000	  23.8375	   1.4879
1584000000.0000	  23.8682	   1.4965
1592000000.0000	  23.8976	   1.5077
1600000000.0000	  23.9436	   1.5190
1608000000.0000	  24.0018	   1.5311
1616000000.0000	  24.0210	   1.5393
1624000000.0000	  24.0076	   1.5442
1632000000.0000	  23.9829	   1.5501
1640000000.0000	  23.9503	   1.5569
1648000000.0000	  23.8997	   1.5506
1656000000.0000	  23.8679	   1.5623
1664000000.0000	  23.8385	   1.5667
1672000000.0000	  23.8218	   1.5759
1680000000.0000	  23.8083	   1.5799
1688000000.0000	  23.7971	   1.5863
1696000000.0000	  23.7989	   1.5938
1704000000.0000	  23.7807	   1.5933
1712000000.0000	  23.7676	   1.5963
1720000000.0000	  23.7582	   1.6123
1728000000.0000	  23.7493	   1.6162
1736000000.0000	  23.7341	   1.6240
1744000000.0000	  23.7193	   1.6292
1752000000.0000	  23.7085	   1.6404
1760000000.0000	  23.7065	   1.6473
1768000000.0000	  23.7074	   1.6489
1776000000.0000	  23.7260	   1.6629
1784000000.0000	  23.7578	   1.6728
1792000000.0000	  23.7697	   1.6843
1800000000.0000	  23.7578	   1.6978
1808000000.0000	  23.7491	   1.7065
1816000000.0000	  23.7354	   1.7179
1824000000.0000	  23.7202	   1.7227
1832000000.0000	  23.6907	   1.7304
1840000000.0000	  23.6893	   1.7364
1848000000.0000	  23.6992	   1.7483
1856000000.0000	  23.7222	   1.7579
1864000000.0000	  23.7317	   1.7581
1872000000.0000	  23.7810	   1.7678
1880000000.0000	  23.8213	   1.7754
1888000000.0000	  23.8177	   1.7763
1896000000.0000	  23.8290	   1.7863
1904000000.0000	  23.8451	   1.7808
1912000000.0000	  23.8586	   1.7795
1920000000.0000	  23.8612	   1.7741
1928000000.0000	  23.8734	   1.7755
1936000000.0000	  23.8897	   1.7688
1944000000.0000	  23.9051	   1.7698
1952000000.0000	  23.9105	   1.7663
