frequency	e'	e''
1000000000.0000	  63.9583	   2.8911
1008000000.0000	  63.9581	   2.8614
1016000000.0000	  63.9610	   2.8244
1024000000.0000	  63.9724	   2.7715
1032000000.0000	  63.9914	   2.7066
1040000000.0000	  64.0658	   2.6428
1048000000.0000	  64.1926	   2.6485
1056000000.0000	  64.2994	   2.7210
1064000000.0000	  64.3731	   2.8406
1072000000.0000	  64.3830	   2.9471
1080000000.0000	  64.3990	   3.0298
1088000000.0000	  64.3988	   3.0975
1096000000.0000	  64.4247	   3.1520
1104000000.0000	  64.4435	   3.1852
1112000000.0000	  64.4649	   3.2170
1120000000.0000	  64.4753	   3.2299
1128000000.0000	  64.4913	   3.2510
1136000000.0000	  64.5131	   3.2717
1144000000.0000	  64.5238	   3.2944
1152000000.0000	  64.5245	   3.3173
1160000000.0000	  64.5114	   3.3440
1168000000.0000	  64.5035	   3.3647
1176000000.0000	  64.4856	   3.3760
1184000000.0000	  64.4701	   3.3620
1192000000.0000	  64.4568	   3.3705
1200000000.0000	  64.4658	   3.3534
1208000000.0000	  64.3803	   3.3237
1216000000.0000	  64.4088	   3.3065
1224000000.0000	  64.4491	   3.2732
1232000000.0000	  64.5090	   3.2448
1240000000.0000	  64.5781	   3.2242
1248000000.0000	  64.6796	   3.2248
1256000000.0000	  64.7951	   3.2382
1264000000.0000	  64.8870	   3.2887
1272000000.0000	  64.9734	   3.3621
1280000000.0000	  65.0358	   3.4582
1288000000.0000	  65.0727	   3.5404
1296000000.0000	  65.0857	   3.6408
1304000000.0000	  65.0814	   3.7191
1312000000.0000	  65.0700	   3.8053
1320000000.0000	  65.0510	   3.8702
1328000000.0000	  65.0310	   3.9392
1336000000.0000	  65.0166	   3.9959
1344000000.0000	  64.9885	   4.0551
1352000000.0000	  64.9617	   4.1104
1360000000.0000	  64.9292	   4.1659
1368000000.0000	  64.8838	   4.2224
1376000000.0000	  64.8186	   4.2849
1384000000.0000	  64.7276	   4.3348
1392000000.0000	  64.6138	   4.3867
1400000000.0000	  64.4911	   4.4281
1408000000.0000	  64.3574	   4.4321
1416000000.0000	  64.2107	   4.3951
1424000000.0000	  64.0812	   4.2944
1432000000.0000	  64.0086	   4.1467
1440000000.0000	  64.0066	   3.9764
1448000000.0000	  64.1053	   3.8009
1456000000.0000	  64.2935	   3.6560
1464000000.0000	  64.5461	   3.6031
1472000000.0000	  64.7993	   3.6294
1480000000.0000	  65.0228	   3.7223
1488000000.0000	  65.2020	   3.8514
1496000000.0000	  65.3432	   3.9833
1504000000.0000	  65.4603	   4.1023
1512000000.0000	  65.5074	   4.2094
1520000000.0000	  65.5246	   4.3198
1528000000.0000	  65.5241	   4.4127
1536000000.0000	  65.4981	   4.5169
1544000000.0000	  65.4451	   4.6044
1552000000.0000	  65.3283	   4.6751
1560000000.0000	  65.1549	   4.7297
1568000000.0000	  64.9409	   4.7604
1576000000.0000	  64.7084	   4.7509
1584000000.0000	  64.4211	   4.7160
1592000000.0000	  64.1810	   4.6585
1600000000.0000	  64.0576	   4.5903
1608000000.0000	  63.9935	   4.5526
1616000000.0000	  63.8869	   4.5181
1624000000.0000	  63.7599	   4.4935
1632000000.0000	  63.6747	   4.4970
1640000000.0000	  63.6758	   4.5160
1648000000.0000	  63.7306	   4.5586
1656000000.0000	  63.7464	   4.5837
1664000000.0000	  63.6398	   4.6131
1672000000.0000	  63.5278	   4.6499
1680000000.0000	  63.5517	   4.6972
1688000000.0000	  63.7147	   4.7711
1696000000.0000	  63.8705	   4.8461
1704000000.0000	  63.9704	   4.9247
1712000000.0000	  64.0291	   5.0004
1720000000.0000	  64.0615	   5.0641
1728000000.0000	  64.0493	   5.1285
1736000000.0000	  63.9801	   5.1796
1744000000.0000	  63.9053	   5.2207
1752000000.0000	  63.8810	   5.2541
1760000000.0000	  63.8873	   5.3067
1768000000.0000	  63.8378	   5.3481
1776000000.0000	  63.7897	   5.3743
1784000000.0000	  63.7709	   5.4130
1792000000.0000	  63.7564	   5.4419
1800000000.0000	  63.7439	   5.4817
1808000000.0000	  63.7411	   5.5163
1816000000.0000	  63.7378	   5.5445
1824000000.0000	  63.6587	   5.5670
1832000000.0000	  63.4922	   5.5674
1840000000.0000	  63.3337	   5.5721
1848000000.0000	  63.2539	   5.5851
1856000000.0000	  63.2345	   5.6140
1864000000.0000	  63.2344	   5.6577
1872000000.0000	  63.2405	   5.6986
1880000000.0000	  63.2331	   5.7562
1888000000.0000	  63.2112	   5.7984
1896000000.0000	  63.2113	   5.8482
1904000000.0000	  63.2534	   5.8984
1912000000.0000	  63.3071	   5.9323
1920000000.0000	  63.3238	   5.9599
1928000000.0000	  63.2346	   5.9679
1936000000.0000	  62.8939	   5.9406
1944000000.0000	  62.4012	   5.8722
1952000000.0000	  62.1025	   5.8459
1960000000.0000	  62.1334	   5.8592
1968000000.0000	  62.2751	   5.8919
1976000000.0000	  62.3649	   5.9193
1984000000.0000	  62.4194	   5.9474
1992000000.0000	  62.5528	   5.9799
2000000000.0000	  62.7215	   6.0052
2008000000.0000	  62.8794	   6.0419
2016000000.0000	  63.0030	   6.0749
2024000000.0000	  63.1205	   6.0981
2032000000.0000	  63.2282	   6.1247
2040000000.0000	  63.3019	   6.1595
2048000000.0000	  63.3396	   6.1829
2056000000.0000	  63.3442	   6.2133
2064000000.0000	  63.2778	   6.2339
2072000000.0000	  63.1688	   6.2560
2080000000.0000	  63.1209	   6.2742
2088000000.0000	  63.1276	   6.3016
2096000000.0000	  63.1539	   6.3225
2104000000.0000	  63.2070	   6.3506
2112000000.0000	  63.2618	   6.3753
2120000000.0000	  63.3051	   6.3997
2128000000.0000	  63.3311	   6.4063
2136000000.0000	  63.3343	   6.4161
2144000000.0000	  63.3493	   6.4271
2152000000.0000	  63.3664	   6.4361
2160000000.0000	  63.3894	   6.4497
2168000000.0000	  63.4167	   6.4683
2176000000.0000	  63.4591	   6.4960
2184000000.0000	  63.4925	   6.5178
2192000000.0000	  63.5293	   6.5359
2200000000.0000	  63.5590	   6.5565
2208000000.0000	  63.5837	   6.5821
2216000000.0000	  63.5829	   6.5929
2224000000.0000	  63.5726	   6.5927
2232000000.0000	  63.5638	   6.5905
2240000000.0000	  63.5453	   6.5933
2248000000.0000	  63.5231	   6.5843
2256000000.0000	  63.4972	   6.5699
2264000000.0000	  63.4827	   6.5531
2272000000.0000	  63.4679	   6.5318
2280000000.0000	  63.4601	   6.5140
2288000000.0000	  63.4645	   6.4885
2296000000.0000	  63.4981	   6.4732
2304000000.0000	  63.5381	   6.4537
2312000000.0000	  63.5854	   6.4391
2320000000.0000	  63.6473	   6.4322
2328000000.0000	  63.7204	   6.4269
2336000000.0000	  63.8051	   6.4226
2344000000.0000	  63.8737	   6.4256
2352000000.0000	  63.9336	   6.4302
2360000000.0000	  63.9828	   6.4414
2368000000.0000	  64.0104	   6.4477
2376000000.0000	  64.0348	   6.4611
2384000000.0000	  64.0752	   6.4798
2392000000.0000	  64.1227	   6.5079
2400000000.0000	  64.1374	   6.5336
2408000000.0000	  64.1437	   6.5635
2416000000.0000	  64.1593	   6.5875
2424000000.0000	  64.1836	   6.6226
2432000000.0000	  64.1883	   6.6593
2440000000.0000	  64.1856	   6.6920
2448000000.0000	  64.2000	   6.7234
2456000000.0000	  64.2136	   6.7600
2464000000.0000	  64.2373	   6.7921
2472000000.0000	  64.2641	   6.8297
2480000000.0000	  64.2972	   6.8619
2488000000.0000	  64.3029	   6.8909
2496000000.0000	  64.3090	   6.9162
2504000000.0000	  64.2981	   6.9432
2512000000.0000	  64.2884	   6.9679
2520000000.0000	  64.2840	   6.9983
2528000000.0000	  64.2911	   7.0357
2536000000.0000	  64.3085	   7.0705
2544000000.0000	  64.3168	   7.1164
2552000000.0000	  64.3137	   7.1515
2560000000.0000	  64.2991	   7.1947
2568000000.0000	  64.2745	   7.2372
2576000000.0000	  64.2299	   7.2783
2584000000.0000	  64.1357	   7.3092
2592000000.0000	  63.9974	   7.3425
2600000000.0000	  63.8230	   7.3772
2608000000.0000	  63.6142	   7.4027
2616000000.0000	  63.4304	   7.4296
2624000000.0000	  63.3368	   7.4755
2632000000.0000	  63.3213	   7.5417
2640000000.0000	  63.3289	   7.6147
2648000000.0000	  63.3170	   7.6770
2656000000.0000	  63.2294	   7.7241
2664000000.0000	  63.0450	   7.7475
2672000000.0000	  62.8015	   7.7643
2680000000.0000	  62.6272	   7.7779
2688000000.0000	  62.5496	   7.7955
2696000000.0000	  62.5645	   7.8508
2704000000.0000	  62.6359	   7.9014
2712000000.0000	  62.7226	   7.9583
2720000000.0000	  62.7947	   8.0120
2728000000.0000	  62.8169	   8.0586
2736000000.0000	  62.7899	   8.0864
2744000000.0000	  62.7578	   8.1179
2752000000.0000	  62.7349	   8.1450
2760000000.0000	  62.6935	   8.1710
2768000000.0000	  62.6627	   8.1940
2776000000.0000	  62.6841	   8.2220
2784000000.0000	  62.7216	   8.2469
2792000000.0000	  62.7756	   8.2851
2800000000.0000	  62.8418	   8.3198
2808000000.0000	  62.9142	   8.3608
2816000000.0000	  62.9695	   8.4002
2824000000.0000	  63.0252	   8.4357
2832000000.0000	  63.0839	   8.4552
2840000000.0000	  63.1367	   8.4830
2848000000.0000	  63.1688	   8.4973
2856000000.0000	  63.1949	   8.5106
2864000000.0000	  63.2181	   8.5220
2872000000.0000	  63.2461	   8.5444
2880000000.0000	  63.2786	   8.5669
2888000000.0000	  63.2802	   8.5817
2896000000.0000	  63.2815	   8.6054
2904000000.0000	  63.2819	   8.6350
2912000000.0000	  63.2793	   8.6568
2920000000.0000	  63.2809	   8.6879
2928000000.0000	  63.2685	   8.7099
2936000000.0000	  63.2645	   8.7363
2944000000.0000	  63.2216	   8.7493
2952000000.0000	  63.1812	   8.7664
2960000000.0000	  63.1530	   8.7838
2968000000.0000	  63.1244	   8.7989
2976000000.0000	  63.0853	   8.8163
2984000000.0000	  63.0394	   8.8341
2992000000.0000	  62.9924	   8.8581
3000000000.0000	  62.9486	   8.8837
3008000000.0000	  62.9165	   8.9067
3016000000.0000	  62.9103	   8.9423
3024000000.0000	  62.9331	   8.9705
3032000000.0000	  62.9586	   9.0026
3040000000.0000	  62.9882	   9.0319
