frequency	e'	e''
1000000000.0000	   3.3352	   0.0773
1008000000.0000	   3.3293	   0.0807
1016000000.0000	   3.3329	   0.0641
1024000000.0000	   3.3266	   0.0802
1032000000.0000	   3.3275	   0.0747
1040000000.0000	   3.3300	   0.0766
1048000000.0000	   3.3329	   0.0749
1056000000.0000	   3.3336	   0.0770
1064000000.0000	   3.3307	   0.0707
1072000000.0000	   3.3364	   0.0715
1080000000.0000	   3.3384	   0.0746
1088000000.0000	   3.3427	   0.0812
1096000000.0000	   3.3405	   0.0743
1104000000.0000	   3.3503	   0.0784
1112000000.0000	   3.3530	   0.0736
1120000000.0000	   3.3447	   0.0784
1128000000.0000	   3.3466	   0.0705
1136000000.0000	   3.3463	   0.0778
1144000000.0000	   3.3532	   0.0794
1152000000.0000	   3.3510	   0.0800
1160000000.0000	   3.3457	   0.0790
1168000000.0000	   3.3535	   0.0765
1176000000.0000	   3.3574	   0.0870
1184000000.0000	   3.3598	   0.0828
1192000000.0000	   3.3567	   0.0805
1200000000.0000	   3.3553	   0.0828
1208000000.0000	   3.3614	   0.0769
1216000000.0000	   3.3564	   0.0782
1224000000.0000	   3.3483	   0.0843
1232000000.0000	   3.3520	   0.0794
1240000000.0000	   3.3488	   0.0795
1248000000.0000	   3.3524	   0.0804
1256000000.0000	   3.3504	   0.0800
1264000000.0000	   3.3511	   0.0815
1272000000.0000	   3.3484	   0.0794
1280000000.0000	   3.3519	   0.0860
1288000000.0000	   3.3526	   0.0809
1296000000.0000	   3.3468	   0.0798
1304000000.0000	   3.3494	   0.0919
1312000000.0000	   3.3489	   0.0841
1320000000.0000	   3.3466	   0.0852
1328000000.0000	   3.3436	   0.0837
1336000000.0000	   3.3490	   0.0860
1344000000.0000	   3.3479	   0.0848
1352000000.0000	   3.3477	   0.0814
1360000000.0000	   3.3552	   0.0844
1368000000.0000	   3.3538	   0.0862
1376000000.0000	   3.3623	   0.0868
1384000000.0000	   3.3660	   0.0857
1392000000.0000	   3.3703	   0.0860
1400000000.0000	   3.3695	   0.0888
1408000000.0000	   3.3759	   0.0874
1416000000.0000	   3.3795	   0.0878
1424000000.0000	   3.3781	   0.0894
1432000000.0000	   3.3803	   0.0870
1440000000.0000	   3.3805	   0.0873
1448000000.0000	   3.3833	   0.0855
1456000000.0000	   3.3802	   0.0909
1464000000.0000	   3.3814	   0.1002
1472000000.0000	   3.3830	   0.0873
1480000000.0000	   3.3830	   0.0913
1488000000.0000	   3.3843	   0.0935
1496000000.0000	   3.3873	   0.0942
1504000000.0000	   3.3765	   0.0920
1512000000.0000	   3.3848	   0.0909
1520000000.0000	   3.3831	   0.0877
1528000000.0000	   3.3826	   0.0938
1536000000.0000	   3.3787	   0.0932
1544000000.0000	   3.3802	   0.0899
1552000000.0000	   3.3819	   0.0878
1560000000.0000	   3.3842	   0.0945
1568000000.0000	   3.3787	   0.0902
1576000000.0000	   3.3830	   0.0960
1584000000.0000	   3.3816	   0.0940
1592000000.0000	   3.3845	   0.0964
1600000000.0000	   3.3830	   0.0959
1608000000.0000	   3.3843	   0.0999
1616000000.0000	   3.3908	   0.0993
1624000000.0000	   3.3873	   0.1005
1632000000.0000	   3.3855	   0.0983
1640000000.0000	   3.3886	   0.1021
1648000000.0000	   3.3834	   0.0999
1656000000.0000	   3.3890	   0.1029
1664000000.0000	   3.3890	   0.1037
1672000000.0000	   3.3903	   0.1032
1680000000.0000	   3.3915	   0.1033
1688000000.0000	   3.3927	   0.1024
1696000000.0000	   3.3941	   0.1017
1704000000.0000	   3.3957	   0.1009
1712000000.0000	   3.3951	   0.0976
1720000000.0000	   3.3994	   0.1051
1728000000.0000	   3.3988	   0.1045
1736000000.0000	   3.3958	   0.1037
1744000000.0000	   3.3922	   0.1057
1752000000.0000	   3.3937	   0.1031
1760000000.0000	   3.3967	   0.1086
1768000000.0000	   3.3935	   0.0998
1776000000.0000	   3.4009	   0.1039
1784000000.0000	   3.3984	   0.1034
1792000000.0000	   3.3924	   0.1038
1800000000.0000	   3.4018	   0.1099
1808000000.0000	   3.3952	   0.1042
1816000000.0000	   3.3940	   0.1098
1824000000.0000	   3.3941	   0.1042
1832000000.0000	   3.3916	   0.1067
1840000000.0000	   3.3894	   0.1095
1848000000.0000	   3.3877	   0.1062
1856000000.0000	   3.3867	   0.1103
1864000000.0000	   3.3895	   0.1032
1872000000.0000	   3.3892	   0.1068
1880000000.0000	   3.3919	   0.1030
1888000000.0000	   3.3949	   0.1056
1896000000.0000	   3.3990	   0.1051
1904000000.0000	   3.4039	   0.1087
1912000000.0000	   3.4096	   0.1068
1920000000.0000	   3.4108	   0.1016
1928000000.0000	   3.4115	   0.1060
1936000000.0000	   3.4157	   0.1037
1944000000.0000	   3.4167	   0.1071
1952000000.0000	   3.4154	   0.1027
1960000000.0000	   3.4177	   0.1035
1968000000.0000	   3.4263	   0.1035
1976000000.0000	   3.4224	   0.1064
1984000000.0000	   3.4249	   0.1064
1992000000.0000	   3.4250	   0.1114
2000000000.0000	   3.4299	   0.1107
2008000000.0000	   3.4230	   0.1168
2016000000.0000	   3.4285	   0.1148
2024000000.0000	   3.4274	   0.1164
2032000000.0000	   3.4242	   0.1198
2040000000.0000	   3.4237	   0.1179
2048000000.0000	   3.4206	   0.1216
2056000000.0000	   3.4210	   0.1246
2064000000.0000	   3.4282	   0.1254
2072000000.0000	   3.4224	   0.1251
2080000000.0000	   3.4238	   0.1265
2088000000.0000	   3.4227	   0.1317
2096000000.0000	   3.4249	   0.1277
2104000000.0000	   3.4247	   0.1252
2112000000.0000	   3.4221	   0.1314
2120000000.0000	   3.4178	   0.1256
2128000000.0000	   3.4173	   0.1306
2136000000.0000	   3.4163	   0.1320
2144000000.0000	   3.4132	   0.1343
2152000000.0000	   3.4138	   0.1334
2160000000.0000	   3.4051	   0.1315
2168000000.0000	   3.4084	   0.1358
2176000000.0000	   3.4111	   0.1317
2184000000.0000	   3.4122	   0.1364
2192000000.0000	   3.4121	   0.1361
2200000000.0000	   3.4164	   0.1354
2208000000.0000	   3.4205	   0.1338
2216000000.0000	   3.4241	   0.1315
2224000000.0000	   3.4263	   0.1341
2232000000.0000	   3.4318	   0.1380
2240000000.0000	   3.4323	   0.1360
2248000000.0000	   3.4422	   0.1370
2256000000.0000	   3.4413	   0.1383
2264000000.0000	   3.4469	   0.1381
2272000000.0000	   3.4547	   0.1373
2280000000.0000	   3.4604	   0.1353
2288000000.0000	   3.4660	   0.1351
2296000000.0000	   3.4674	   0.1367
2304000000.0000	   3.4722	   0.1356
2312000000.0000	   3.4727	   0.1457
2320000000.0000	   3.4703	   0.1407
2328000000.0000	   3.4711	   0.1399
2336000000.0000	   3.4622	   0.1432
2344000000.0000	   3.4529	   0.1456
2352000000.0000	   3.4469	   0.1504
2360000000.0000	   3.4453	   0.1430
2368000000.0000	   3.4418	   0.1500
2376000000.0000	   3.4381	   0.1487
2384000000.0000	   3.4409	   0.1486
2392000000.0000	   3.4358	   0.1547
2400000000.0000	   3.4393	   0.1509
2408000000.0000	   3.4435	   0.1553
2416000000.0000	   3.4450	   0.1506
2424000000.0000	   3.4454	   0.1532
2432000000.0000	   3.4434	   0.1542
2440000000.0000	   3.4377	   0.1546
2448000000.0000	   3.4358	   0.1505
2456000000.0000	   3.4369	   0.1603
2464000000.0000	   3.4320	   0.1546
2472000000.0000	   3.4320	   0.1570
2480000000.0000	   3.4307	   0.1581
2488000000.0000	   3.4283	   0.1526
2496000000.0000	   3.4344	   0.1573
2504000000.0000	   3.4307	   0.1559
2512000000.0000	   3.4350	   0.1557
2520000000.0000	   3.4357	   0.1546
2528000000.0000	   3.4362	   0.1544
2536000000.0000	   3.4345	   0.1542
2544000000.0000	   3.4401	   0.1567
2552000000.0000	   3.4401	   0.1549
2560000000.0000	   3.4447	   0.1595
2568000000.0000	   3.4467	   0.1585
2576000000.0000	   3.4462	   0.1545
2584000000.0000	   3.4513	   0.1551
2592000000.0000	   3.4556	   0.1561
2600000000.0000	   3.4630	   0.1554
2608000000.0000	   3.4660	   0.1536
2616000000.0000	   3.4666	   0.1530
2624000000.0000	   3.4691	   0.1557
2632000000.0000	   3.4725	   0.1587
2640000000.0000	   3.4692	   0.1610
2648000000.0000	   3.4686	   0.1609
2656000000.0000	   3.4665	   0.1607
2664000000.0000	   3.4651	   0.1647
2672000000.0000	   3.4661	   0.1671
2680000000.0000	   3.4674	   0.1721
2688000000.0000	   3.4588	   0.1706
2696000000.0000	   3.4604	   0.1729
2704000000.0000	   3.4617	   0.1788
2712000000.0000	   3.4605	   0.1740
2720000000.0000	   3.4578	   0.1765
2728000000.0000	   3.4570	   0.1765
2736000000.0000	   3.4595	   0.1789
2744000000.0000	   3.4509	   0.1869
2752000000.0000	   3.4531	   0.1814
2760000000.0000	   3.4461	   0.1833
2768000000.0000	   3.4463	   0.1851
2776000000.0000	   3.4463	   0.1858
2784000000.0000	   3.4419	   0.1852
2792000000.0000	   3.4434	   0.1896
2800000000.0000	   3.4418	   0.1874
2808000000.0000	   3.4450	   0.1886
2816000000.0000	   3.4461	   0.1924
2824000000.0000	   3.4493	   0.1934
2832000000.0000	   3.4527	   0.1891
2840000000.0000	   3.4585	   0.1925
2848000000.0000	   3.4596	   0.1931
2856000000.0000	   3.4670	   0.1949
2864000000.0000	   3.4665	   0.1953
2872000000.0000	   3.4741	   0.1948
2880000000.0000	   3.4757	   0.1978
2888000000.0000	   3.4777	   0.1976
2896000000.0000	   3.4801	   0.1954
2904000000.0000	   3.4773	   0.2011
2912000000.0000	   3.4723	   0.1997
2920000000.0000	   3.4731	   0.2053
2928000000.0000	   3.4691	   0.2035
2936000000.0000	   3.4658	   0.2065
2944000000.0000	   3.4620	   0.2039
2952000000.0000	   3.4620	   0.2108
2960000000.0000	   3.4620	   0.2133
