frequency	e'	e''
1000000000.0000	  56.4307	   2.0788
1008000000.0000	  56.4432	   2.0592
1016000000.0000	  56.4861	   2.0277
1024000000.0000	  56.5474	   1.9853
1032000000.0000	  56.6414	   1.9286
1040000000.0000	  56.7823	   1.8898
1048000000.0000	  56.9810	   1.8984
1056000000.0000	  57.2331	   1.9893
1064000000.0000	  57.4471	   2.1036
1072000000.0000	  57.5866	   2.2167
1080000000.0000	  57.6970	   2.3055
1088000000.0000	  57.7462	   2.3684
1096000000.0000	  57.7880	   2.4213
1104000000.0000	  57.8103	   2.4542
1112000000.0000	  57.8185	   2.4834
1120000000.0000	  57.7877	   2.4993
1128000000.0000	  57.7646	   2.5169
1136000000.0000	  57.7371	   2.5373
1144000000.0000	  57.7094	   2.5711
1152000000.0000	  57.6634	   2.5869
1160000000.0000	  57.6599	   2.6132
1168000000.0000	  57.6925	   2.6469
1176000000.0000	  57.7155	   2.6701
1184000000.0000	  57.7064	   2.6760
1192000000.0000	  57.6611	   2.6795
1200000000.0000	  57.5939	   2.6711
1208000000.0000	  57.4704	   2.6386
1216000000.0000	  57.3659	   2.6173
1224000000.0000	  57.2957	   2.5851
1232000000.0000	  57.2554	   2.5604
1240000000.0000	  57.2791	   2.5507
1248000000.0000	  57.3898	   2.5764
1256000000.0000	  57.5708	   2.6091
1264000000.0000	  57.7319	   2.6895
1272000000.0000	  57.8604	   2.7849
1280000000.0000	  57.9604	   2.9068
1288000000.0000	  58.0198	   3.0223
1296000000.0000	  58.0510	   3.1452
1304000000.0000	  58.0420	   3.2619
1312000000.0000	  58.0098	   3.3781
1320000000.0000	  57.9541	   3.4918
1328000000.0000	  57.8689	   3.5988
1336000000.0000	  57.7791	   3.6958
1344000000.0000	  57.6679	   3.7992
1352000000.0000	  57.5055	   3.8812
1360000000.0000	  57.3183	   3.9599
1368000000.0000	  57.1550	   4.0058
1376000000.0000	  57.0390	   4.0390
1384000000.0000	  56.9526	   4.0334
1392000000.0000	  56.9090	   4.0114
1400000000.0000	  56.9304	   3.9734
1408000000.0000	  56.9808	   3.8985
1416000000.0000	  57.0420	   3.8164
1424000000.0000	  57.1391	   3.6945
1432000000.0000	  57.3095	   3.5758
1440000000.0000	  57.5181	   3.4726
1448000000.0000	  57.7873	   3.3790
1456000000.0000	  58.1407	   3.3471
1464000000.0000	  58.4989	   3.3934
1472000000.0000	  58.7967	   3.4985
1480000000.0000	  58.9876	   3.6498
1488000000.0000	  59.0788	   3.8164
1496000000.0000	  59.0961	   3.9722
1504000000.0000	  58.9146	   4.0941
1512000000.0000	  58.7840	   4.1560
1520000000.0000	  58.6375	   4.1941
1528000000.0000	  58.4635	   4.1927
1536000000.0000	  58.2436	   4.1720
1544000000.0000	  58.0387	   4.1444
1552000000.0000	  57.8783	   4.1061
1560000000.0000	  57.8218	   4.0864
1568000000.0000	  57.7989	   4.0777
1576000000.0000	  57.6786	   4.0423
1584000000.0000	  57.3583	   3.9959
1592000000.0000	  56.8943	   3.9356
1600000000.0000	  56.6409	   3.8971
1608000000.0000	  56.7064	   3.9093
1616000000.0000	  56.9869	   3.9444
1624000000.0000	  57.2900	   3.9732
1632000000.0000	  57.4377	   4.0027
1640000000.0000	  57.4794	   4.0187
1648000000.0000	  57.4511	   4.0273
1656000000.0000	  57.4223	   4.0343
1664000000.0000	  57.4603	   4.0494
1672000000.0000	  57.5314	   4.0809
1680000000.0000	  57.5934	   4.1030
1688000000.0000	  57.6047	   4.1301
1696000000.0000	  57.5643	   4.1431
1704000000.0000	  57.4600	   4.1701
1712000000.0000	  57.3177	   4.1855
1720000000.0000	  57.2031	   4.2022
1728000000.0000	  57.1128	   4.2218
1736000000.0000	  57.0493	   4.2459
1744000000.0000	  57.0507	   4.2687
1752000000.0000	  57.1242	   4.2943
1760000000.0000	  57.1947	   4.3319
1768000000.0000	  57.0974	   4.3377
