frequency	e'	e''
1000000000.0000	  32.6221	  -0.0081
1008000000.0000	  32.1486	  -0.0534
1016000000.0000	  31.7994	  -0.1014
1024000000.0000	  31.5247	  -0.1581
1032000000.0000	  31.2838	  -0.2194
1040000000.0000	  30.9890	  -0.2646
1048000000.0000	  30.6921	  -0.3017
1056000000.0000	  30.5251	  -0.2697
1064000000.0000	  30.3647	  -0.2205
1072000000.0000	  30.2204	  -0.1688
1080000000.0000	  30.1468	  -0.1237
1088000000.0000	  30.1709	  -0.0787
1096000000.0000	  30.2734	  -0.0271
1104000000.0000	  30.4063	  -0.0049
1112000000.0000	  30.5983	   0.0317
1120000000.0000	  30.7993	   0.0591
1128000000.0000	  31.0125	   0.0879
1136000000.0000	  31.2039	   0.1175
1144000000.0000	  31.3890	   0.1541
1152000000.0000	  31.5618	   0.1723
1160000000.0000	  31.7252	   0.2105
1168000000.0000	  31.8975	   0.2521
1176000000.0000	  32.0988	   0.2941
1184000000.0000	  32.3089	   0.3224
1192000000.0000	  32.5572	   0.3624
1200000000.0000	  32.8413	   0.3959
1208000000.0000	  33.1444	   0.4197
1216000000.0000	  33.4311	   0.4453
1224000000.0000	  33.6966	   0.4615
1232000000.0000	  33.9275	   0.4649
1240000000.0000	  34.0973	   0.4692
1248000000.0000	  34.2316	   0.4801
1256000000.0000	  34.3080	   0.4945
1264000000.0000	  34.3432	   0.5153
1272000000.0000	  34.3576	   0.5598
1280000000.0000	  34.3377	   0.6167
1288000000.0000	  34.3269	   0.6661
1296000000.0000	  34.3468	   0.7243
1304000000.0000	  34.3737	   0.7769
1312000000.0000	  34.3949	   0.8206
1320000000.0000	  34.4096	   0.8586
1328000000.0000	  34.4170	   0.8929
1336000000.0000	  34.3610	   0.8917
1344000000.0000	  34.2923	   0.8959
1352000000.0000	  34.2606	   0.8919
1360000000.0000	  34.2635	   0.8986
1368000000.0000	  34.2524	   0.9001
1376000000.0000	  34.2670	   0.9016
1384000000.0000	  34.3282	   0.9051
1392000000.0000	  34.3983	   0.9106
1400000000.0000	  34.4349	   0.9135
1408000000.0000	  34.4645	   0.8887
