frequency	e'	e''
1000000000.0000	  28.1780	   1.1252
1008000000.0000	  28.2073	   1.1340
1016000000.0000	  28.2494	   1.1407
1024000000.0000	  28.2679	   1.1569
1032000000.0000	  28.2884	   1.1654
1040000000.0000	  28.3111	   1.1702
1048000000.0000	  28.3453	   1.1793
1056000000.0000	  28.3814	   1.1794
1064000000.0000	  28.4017	   1.1852
1072000000.0000	  28.4391	   1.2007
1080000000.0000	  28.4769	   1.2020
1088000000.0000	  28.5377	   1.2202
1096000000.0000	  28.5861	   1.2255
1104000000.0000	  28.6427	   1.2452
1112000000.0000	  28.7087	   1.2507
1120000000.0000	  28.7701	   1.2627
1128000000.0000	  28.8168	   1.2704
1136000000.0000	  28.8756	   1.2810
1144000000.0000	  28.9424	   1.2956
1152000000.0000	  28.9949	   1.3116
1160000000.0000	  29.0860	   1.3306
1168000000.0000	  29.1259	   1.3386
1176000000.0000	  29.1514	   1.3588
1184000000.0000	  29.1785	   1.3746
1192000000.0000	  29.1901	   1.3893
1200000000.0000	  29.2001	   1.4021
1208000000.0000	  29.2043	   1.4010
1216000000.0000	  29.2004	   1.4241
1224000000.0000	  29.1704	   1.4365
1232000000.0000	  29.2063	   1.4480
1240000000.0000	  29.2327	   1.4618
1248000000.0000	  29.2630	   1.4790
1256000000.0000	  29.2492	   1.4904
1264000000.0000	  29.2209	   1.4952
1272000000.0000	  29.1987	   1.5030
1280000000.0000	  29.1912	   1.5191
1288000000.0000	  29.1738	   1.5314
1296000000.0000	  29.1486	   1.5389
1304000000.0000	  29.1545	   1.5542
1312000000.0000	  29.1636	   1.5584
1320000000.0000	  29.2042	   1.5642
1328000000.0000	  29.2055	   1.5769
1336000000.0000	  29.2258	   1.5860
1344000000.0000	  29.2660	   1.5984
1352000000.0000	  29.3015	   1.6128
1360000000.0000	  29.3694	   1.6240
1368000000.0000	  29.4373	   1.6384
1376000000.0000	  29.4976	   1.6542
1384000000.0000	  29.5499	   1.6614
1392000000.0000	  29.6281	   1.6784
1400000000.0000	  29.7059	   1.6925
1408000000.0000	  29.7982	   1.7072
1416000000.0000	  29.8406	   1.7263
1424000000.0000	  29.8949	   1.7406
1432000000.0000	  29.9405	   1.7570
1440000000.0000	  29.9891	   1.7728
1448000000.0000	  30.0655	   1.7926
1456000000.0000	  30.0808	   1.8133
1464000000.0000	  30.0623	   1.8257
1472000000.0000	  30.0479	   1.8404
1480000000.0000	  30.0222	   1.8532
1488000000.0000	  29.9981	   1.8691
1496000000.0000	  29.9973	   1.8829
1504000000.0000	  30.0804	   1.8947
1512000000.0000	  30.0899	   1.9061
1520000000.0000	  30.1000	   1.9214
1528000000.0000	  30.1078	   1.9360
1536000000.0000	  30.1219	   1.9445
1544000000.0000	  30.1476	   1.9575
1552000000.0000	  30.1892	   1.9681
1560000000.0000	  30.2304	   1.9845
1568000000.0000	  30.2664	   1.9926
1576000000.0000	  30.3303	   2.0075
1584000000.0000	  30.3766	   2.0180
1592000000.0000	  30.4245	   2.0344
1600000000.0000	  30.4390	   2.0457
1608000000.0000	  30.4589	   2.0567
1616000000.0000	  30.4854	   2.0660
1624000000.0000	  30.4934	   2.0772
1632000000.0000	  30.4933	   2.0892
1640000000.0000	  30.4656	   2.0930
1648000000.0000	  30.4511	   2.1051
1656000000.0000	  30.4430	   2.1140
1664000000.0000	  30.4261	   2.1247
1672000000.0000	  30.4169	   2.1370
1680000000.0000	  30.4240	   2.1503
1688000000.0000	  30.4094	   2.1593
1696000000.0000	  30.3822	   2.1633
1704000000.0000	  30.3687	   2.1718
1712000000.0000	  30.3356	   2.1761
1720000000.0000	  30.2886	   2.1916
1728000000.0000	  30.2229	   2.2001
1736000000.0000	  30.1525	   2.2049
1744000000.0000	  30.0853	   2.2107
1752000000.0000	  30.0456	   2.2169
1760000000.0000	  29.9932	   2.2269
1768000000.0000	  29.9596	   2.2339
1776000000.0000	  29.9696	   2.2511
1784000000.0000	  29.9754	   2.2613
