frequency	e'	e''
1000000000.0000	  47.8950	   1.9243
1008000000.0000	  47.8853	   2.0516
1016000000.0000	  47.8109	   2.1814
1024000000.0000	  47.6143	   2.2623
1032000000.0000	  47.3909	   2.2112
1040000000.0000	  47.2488	   2.0554
1048000000.0000	  47.2444	   1.8929
1056000000.0000	  47.3112	   1.8194
1064000000.0000	  47.3727	   1.8162
1072000000.0000	  47.4037	   1.8395
1080000000.0000	  47.4284	   1.8702
1088000000.0000	  47.4959	   1.8903
1096000000.0000	  47.6332	   1.9224
1104000000.0000	  47.7662	   1.9446
1112000000.0000	  47.8421	   1.9593
1120000000.0000	  47.8798	   1.9442
1128000000.0000	  47.9253	   1.9381
1136000000.0000	  47.9310	   1.9394
1144000000.0000	  47.8895	   1.9432
1152000000.0000	  47.7624	   1.9347
1160000000.0000	  47.5727	   1.9386
1168000000.0000	  47.3628	   1.9468
1176000000.0000	  47.1359	   1.9439
1184000000.0000	  46.8789	   1.9279
1192000000.0000	  46.6623	   1.9147
1200000000.0000	  46.5122	   1.8964
1208000000.0000	  46.4170	   1.8520
1216000000.0000	  46.3288	   1.8236
1224000000.0000	  46.1521	   1.7555
1232000000.0000	  45.9297	   1.6849
1240000000.0000	  45.7199	   1.6191
1248000000.0000	  45.5822	   1.5803
1256000000.0000	  45.3844	   1.5476
1264000000.0000	  44.9621	   1.5249
1272000000.0000	  44.4937	   1.5206
1280000000.0000	  44.2950	   1.5542
1288000000.0000	  44.0652	   1.5889
1296000000.0000	  43.8140	   1.6353
1304000000.0000	  43.6136	   1.6604
1312000000.0000	  43.5839	   1.7125
1320000000.0000	  43.7021	   1.7554
1328000000.0000	  43.7833	   1.7855
1336000000.0000	  43.7313	   1.7929
1344000000.0000	  43.6372	   1.7938
1352000000.0000	  43.5981	   1.7994
1360000000.0000	  43.6181	   1.8130
1368000000.0000	  43.6761	   1.8131
1376000000.0000	  43.6980	   1.8207
1384000000.0000	  43.7614	   1.8255
1392000000.0000	  43.9785	   1.8433
1400000000.0000	  44.2032	   1.8511
1408000000.0000	  44.4442	   1.8388
1416000000.0000	  44.6815	   1.8244
1424000000.0000	  44.9353	   1.7784
1432000000.0000	  45.2057	   1.7145
1440000000.0000	  45.4855	   1.6567
1448000000.0000	  45.7241	   1.5917
1456000000.0000	  45.9284	   1.5466
1464000000.0000	  46.1364	   1.5611
1472000000.0000	  46.3226	   1.6145
1480000000.0000	  46.4455	   1.7139
1488000000.0000	  46.5314	   1.8321
1496000000.0000	  46.6042	   1.9524
1504000000.0000	  46.6696	   2.0451
1512000000.0000	  46.6849	   2.1387
1520000000.0000	  46.7240	   2.2202
1528000000.0000	  46.7624	   2.2882
1536000000.0000	  46.7675	   2.3383
1544000000.0000	  46.7696	   2.3906
1552000000.0000	  46.7570	   2.4209
1560000000.0000	  46.7215	   2.4587
1568000000.0000	  46.6607	   2.4891
1576000000.0000	  46.6192	   2.5228
1584000000.0000	  46.5839	   2.5686
1592000000.0000	  46.5736	   2.6189
1600000000.0000	  46.6111	   2.6619
1608000000.0000	  46.6736	   2.7244
1616000000.0000	  46.7546	   2.7763
1624000000.0000	  46.8345	   2.8265
1632000000.0000	  46.9318	   2.8768
1640000000.0000	  47.0438	   2.9291
1648000000.0000	  47.1441	   2.9821
1656000000.0000	  47.2096	   3.0232
1664000000.0000	  47.2181	   3.0789
1672000000.0000	  47.2027	   3.1449
1680000000.0000	  47.1950	   3.2182
1688000000.0000	  47.2322	   3.3204
1696000000.0000	  47.2748	   3.4342
